DATE RECEIVED,COMPANY NAME,LOCATION,COUNTY,REGION,TYPE,LAYOFF DATE,# AFFECTED
7/8/2019,Pioneer Services,Kansas City,Jackson,Kansas City & Vicinity,Closing,9/1/2019,89
7/29/2019,Sheraton Clayton Plaza Hotel St. Louis,Clayton,St. Louis County,St. Louis County,Layoff,10/1/2019 - 10/14/2019,82
07/29/2019,Silgan Containers Manufacturing Corporation,Mount Vernon,Lawrence,Southwest,Closing,10/04/2019,20
09/02/2019,"Nestle USA, Inc. & Nestle Dreyers Ice Cream Company",Earth City,St. Louis County,St. Louis County,Closing,12/31/2019,56
09/18/2019,"Sodexo, Inc., and Affiliates (Kansas City - Children's Mercy Hospital)",Kansas City,Jackson,Kansas City & Vicinity,Closing,11/08/2109,96
10/02/2019 (updated 04/22/2020),Cerner Corporation,Multiple Locations,Multiple Locations,Multiple Locations,Closing,01/14/2020,80
10/08/2019,Haldex Brake Products Corporation,Blue Springs,Jackson,Kansas City & Vicinity,Closing,12/13/2019,154
10/17/2019,Union Pacific Neff Diesel Locomotive Shop,Kansas City,Jackson,Kansas City & Vicinity,Closing,12/17/2019,89
10/24/2019,Thrift Books,Maryland Heights,St. Louis,St. Louis County,Closing,11/01/2019,65
10/29/2019,"Cowley Distributing, Inc. (Cape Girardeau, Jefferson City, Maryland Heights, Springfield)",Multiple Locations,Multiple Locations,Multiple Locations,Closing,12/31/2019,115
11/01/2019,Regal Beloit America Inc.,West Plains,Howell,South Central,Closing,05/21/2020,204
12/06/2019,"ExlService.com, LLC",Lee's Summit,Jackson,Kansas City & Vicinity,Closing,01/31/2020,82
12/09/2019 (updated 04/22/2020),XPO Logistics,Hazelwood,St. Louis County,St. Louis County,Closing,02/07/2020– 5/31/2020,166
01/15/2020 (updated 01/27/2020),Concentrix CVG Corporation (formerly Convergys),Arnold,Jefferson County,Jefferson/Franklin Consortium,Closing,04/04/2020,168
02/28/2020,"FedEx Ground Package System, Inc. (Earth City)",Earth City,St. Louis County,St. Louis County,Closing,05/02/2020,125
03/06/2020,Hy-Vee Fulfillment Center (Kansas City),Kansas City,Jackson County,Kansas City & Vicinity,Closing,05/06/2020,583
03/16/2020,J W Aluminum Inc. (St. Louis),St. Louis City,St. Louis City,SLATE,Closing,05/15/2020,185
03/17/2020,Major Custom Assemblies Inc.,Hazelwood,St. Louis County,St. Louis County,Closing,03/13/2020,95
03/18/2020,"Schmidt Restaurant Group LLC d/b/a Salt + Smoke (St. Louis - 75, University City - 84 & St. Charles - 59)",Multiple Locations,Multiple Locations,Multiple Locations,Layoff,03/23/2020,218
03/18/2020,Lidia's Kansas City LLC,Kansas City,Jackson,Kansas City & Vicinity,Layoff,03/16/2020,94
03/19/2020,"Trans State Airlines, LLC",Multiple Locations,Multiple Locations,Multiple Locations,Closing,04/02/2020,718
03/20/2020 (updated 05/14/2020),"Amcor Rigid Packaging USA, LLC",Hazelwood,St. Louis County,St. Louis County,Closing,07/17/2020,93
03/23/2020 (updated 04/08/2020),Alamo Drafthouse Cinema,Springfield,Greene,Ozark,Layoff,03/16/2020,207
03/22/2020 (updated 05/22/2020),Aimbridge Hospitality - Hilton Branson Convention Center,Branson,Taney,Ozark,Layoff,03/20/2020,127
03/23/2020,"TEI (STLH), LLC (Four Seasons Hotel St. Louis)",St. Louis,St. Louis,SLATE,Layoff,03/25/2020,291
03/25/2020,Schulte Companies and its affiliated companies including Schulte Hospitality Group (Various locations),St. Louis area,St. Louis,St. Louis,Layoff,03/16/2020,229
03/26/2020,"PLE Enterprises, Inc. d/b/a Rolling Hills Auto Plaza (various locations)",St. Joseph,Buchanon,Northwest,Layoff,03/23/2020,52
03/26/2020,Crossroads Hotel - Kansas City (managed by Aparium Hospitality Services LTD),Kansas City,Jackson,Kansas City & Vicinity,Layoff,03/17/2020,151
03/26/2020,Adams Mark Hotel & Conference Center - Kansas City,Kansas City,Jackson,Kansas City & Vicinity,Layoff,03/17/2020,138
03/26/2020,"Alsco, Inc Linen & Uniform Rental Services - St. Louis",St. Louis,St. Louis,SLATE,Layoff,03/25/2020,39
03/26/2020,Spartan Light Metal Products - Mexico,Mexico,Audrain,Central,Layoff,03/26/2020,332
03/26/2020,Spartan Light Metal Products - Hannibal,Hannibal,Marion,Northeast,Layoff,03/26/2020,72
03/30/2020,America's Auto Auction - Kansas City,Kansas City,Platte,Kansas City & Vicinity,Layoff,03/17/2020,62
03/30/2020,Gaming Partners International,Blue Springs,Jackson,Kansas City & Vicinity,Closing,05/26/2020,112
03/30/2020 (updated 4/6/2020),HGI - Mark Twain LLC,LaGrange,Lewis,Northeast,Layoff,04/01/2020  - 4/6/2020,132
03/30/2020,Paper Source,St. Louis,St. Louis,St. Louis County,Layoff,03/29/2020,13
03/30/2020,Paper Source,Kansas City,Jackson,Kansas City & Vicinity,Layoff,03/29/2020,9
03/30/2020,Robinson Construction,Bloomfield,Stoddard,Southeast,Layoff,03/27/2020,80
03/31/2020 (updated 05/14/2020),HGI - St. Jo LLC (St. Jo Frontier Casino),St. Joseph,Buchanon,Northwest,Layoff,04/01/2020– 4/6/2020,150
03/31/2020,Rembrandt Enterprises,Neosho,Newton,Southwest,Closing,06/01/2020,52
03/31/2020,Welk Resorts,Branson,Taney,Ozark,Layoff,03/20/2020,94
03/31/2020,Rawlings Group,Washington,Franklin,Jefferson/Franklin Consortium,Layoff,03/27/2020,130
03/31/2020,"AutoAlert, LLC",Kansas City,Jackson,Kansas City & Vicinity,Layoff,03/26/2020,200
04/02/2020,Rawlings Group - St. Louis,St. Louis,St. Louis,St. Louis,Layoff,04/03/2020,140
04/05/2020,Justin Brands Facilities,Cassville & Carthage,Barry & Jasper,Southwest,Layoff,04/01/2020,318
04/05/2020,Justin Retail,Monett (7) & Joplin (7),Barry & Jasper,Southwest,Layoff,04/01/2020,14
04/06/2020,"Legget & Platt, Branch One",Carthage,Jasper,Southwest,Layoff,4/3/2020,422
04/06/2020,Red Wing Shoe Company,Potosi,Washington,Central,Layoff,4/7/2020,198
04/06/2020,"Innkeeper Hospitality Services, LLC",St. Louis,St. Louis,St. Louis & St. Louis County,Layoff,3/20/2020,136
04/06/2020,Wellbridge Athletic Club & Spa,Clayton,St. Louis County,St. Louis County,Layoff,3/22/2020,213
04/07/2020,"Hooters of America, LLC (multiple locations)",Multiple Locations,Multiple Locations,Multiple Locations,Layoff,03/20/2020,321
04/07/2020,Isle of Capri Casino Kansas City,Kansas City,Jackson,Kansas City & Vicinity,Layoff,04/11/2020,209
04/07/2020,"Isle of Capri Casino Boonville d/b/a IOC-Boonville, Inc.",Boonville,Cooper,Central,Layoff,04/11/2020,350
04/07/2020,Lumiere Place Casino and Hotels,St. Louis City,St. Louis City,SLATE,Layoff,04/11/2020,646
04/08/2020,"Caleres, Inc.",Clayton,St. Louis County,St. Louis County,Layoff,03/28/2020,368
04/08/2020,SuitSupply St. Louis Inc.,St. Louis City,St. Louis City,SLATE,Layoff,03/29/2020,6
04/09/2020,Asbury Automotive Group - Audi Creve Coeur,Creve Coeur,St. Louis County,St. Louis County,Layoff,04/03/2020,24
04/09/2020 (updated 05/05/2020),Asbury Automotive Group - Landrover Jaguar Creve Coeur,Creve Coeur,St. Louis County,St. Louis County,Layoff,04/03/2020,43
04/09/2020,Asbury Automotive Group - Mercedes Benz O'Fallon,O'Fallon,St. Louis County,St. Louis County,Layoff,04/03/2020,11
04/09/2020 (updated 05/05/2020),Asbury Automotive Group - Plaza BMW Creve Coeur,Creve Coeur,St. Louis County,St. Louis County,Layoff,04/03/2020,39
04/09/2020 (updated 05/05/2020),Asbury Automotive Group - Plaza Infiniti Creve Coeur,Creve Coeur,St. Louis County,St. Louis County,Layoff,04/03/2020,20
04/09/2020 (updated 05/05/2020),Asbury Automotive Group - Plaza Lexus Creve Coeur,Creve Coeur,St. Louis County,St. Louis County,Layoff,04/03/2020,51
04/09/2020 (updated 05/05/2020),Asbury Automotive Group - Mercedes Benz/Smart Creve Coeur,Creve Coeur,St. Louis County,St. Louis County,Layoff,04/03/2020,54
04/10/2020,"Leonard’s Metal, Inc. d/b/a LMI Aerospace - Fountain Lakes",St. Charles,St. Charles County,St. Charles County,Layoff,04/13/2020,88
04/10/2020,"Leonard’s Metal, Inc. d/b/a LMI Aerospace - Highway 94",St. Charles,St. Charles County,St. Charles County,Layoff,04/13/2020,52
04/10/2020,"Ozark Mountain Technologies, LLC",Cuba,Crawford,Central,Layoff,04/13/2020,87
04/10/2020,"Valent Aerostructures, LLC",Washington,Franklin,Jefferson/Franklin Consortium,Layoff,04/13/2020,80
04/13/2020,Kansas City Area Transportation Authority,Kansas City,Jackson,Kansas City & Vicinity,Layoff,04/13/2020,11
04/13/2020,Frontenac Property Owner LLC d/b/a Hilton St. Louis Frontenac Hotel,Frontenac,St. Louis County,St. Louis County,Layoff,04/13/2020,128
04/14/2020,"Silver Dollar City Theme Park, Silver Dollar City Campground, the Showboat Branson Belle, and White Water",Branson,Taney,Ozark,Layoff,04/20/2020,257
04/15/2020,Scholastic Book Fairs,Fenton,St. Louis County,St. Louis County,Layoff,03/24/2020,111
04/16/2020,Marriott Kansas City Country Club Plaza,Kansas City,Jackson,Kansas City & Vicinity,Layoff,04/30/2020,114
04/16/2020,RR Donnelley,St. Louis City,St. Louis City,SLATE,Closing,04/16/2020,72
04/17/2020,"Avis Budget Car Rental, LLC and its subsidiaries",Multiple Locations,St. Louis County,St. Louis County,Layoff,03/02/2020,163
04/17/2020,Black Bear Diner,St. Charles,St. Charles County,St. Charles County,Layoff,04/09/2020,38
04/17/2020,"Guitar Center, Inc. (GTRC Services, Inc.)",Kansas City,Clay,Kansas City & Vicinity,Layoff,04/10/2020,291
04/17/2020,"Pinnacle Healthcare System, Inc.",Multiple Locations,Multiple Locations,Multiple Locations,Closing,04/10/2020,125
04/20/2020,Recovery Management Corporation d/b/a Cargo Largo,Kansas City,Jackson,Kansas City & Vicinity,Layoff,04/13/2020,177
04/20/2020,"Dura Automotive Systems, LLC",Moberly,Randolph,Northeast,Layoff,05/01/2020,81
04/21/2020,"Greater KC LINC, INC -  Caring Community Before and After School Program",Kansas City,Jackson,Jackson,Layoff,05/01/2020,471
04/22/2020,Leggett & Platt Automotive,Carthage,Jasper,Southwest,Layoff,03/23/2020,215
04/22/2020,Visionworks,Multiple Locations,Multiple Locations,Multiple Locations,Layoff,04/04/2020,94
04/24/2020,"Dental Arts Laboratories, Inc.",St. Louis,St. Louis County,St. Louis County,Layoff,04/09/2020,33
04/27/2020,Legget & Platt Wire Mill,Carthage,Jasper,Southwest,Layoff,04/-9/2020,83
04/27/2020,"Great Plains Specialty Finance, Inc.",Multiple Locations,Multiple Locations,Multiple Locations,Layoff,04/21/2020,12
04/27/2020,"EAN Services, LLC - St. Louis Contact Center d/b/a Enterprise",St. Louis,St. Louis County,St. Louis County,Layoff,04/30/2020,820
04/27/2020,"OS Restaurant Services LLC (Blooming Brands, d/b/a: Bonefish, Carrabba’s, Flemings, & Outback)",Multiple Locations,Multiple Locations,Multiple Locations,Layoff,03/15/2020,935
04/27/2020,"C.R. Metal Products, Inc.",Creve Coeur,St. Louis County,St. Louis County,Layoff,04/22/2020,106
04/27/2020,"EAN Services, LLC",Multiple Locations,St. Louis County,St. Louis County,Layoff,04/30/2020,57
04/27/2020,Enterprise Holdings,Multiple Locations,St. Louis County,St. Louis County,Layoff,04/30/2020,365
04/27/2020,Enterprise Holdings,Multiple Locations,St. Louis County,St. Louis County,Layoff,04/30/2020,373
04/27/2020,Enterprise Transport - Various,Multiple Locations,St. Louis County,Multiple Locations,Layoff,03/23/2020,447
04/28/2020,Enterprise Holdings-Enterprise Rent A Car - KC,Kansas City,Platte,Kansas City & Vicinity,Layoff,04/3/2020,56
04/28/2020,Enterprise Holdings - National and Alamo Rent A Car,Kansas City,Platte,Kansas City & Vicinity,Layoff,04/30/2020,84
04/29/2020,Atrium Hospitality: Chateau on the Lake Resort Spa & Convention Center,Branson,Taney,Ozark,Layoff,03/12/2020,115
05/01/2020,First Student - House Springs,House Springs,Jefferson,Jefferson/Franklin Consortium,Closing,06/30/2020,127
05/08/2020,Cox Automotive,Bridgeton,St. Louis County,St. Louis County,Layoff,05/17/2020,141
05/08/2020,Cox Automotive,Kansas City,Jackson,Kansas City & Vicinity,Layoff,05/17/2020,174
05/11/2020,TriWest Healthcare Alliance,Kansas City,Clay,Kansas City & Vicinity,Layoff,04/20/2020,191
05/11/2020,Atrium Hospitality - St. Charles Embassy Suites,St. Charles,St. Charles,St. Charles County,Layoff,03/12/2020,87
05/11/2020,Atrium Hospitality - Springfield University Plaza,Springfield,Greene,Ozark,Layoff,03/12/2020,112
05/12/2020,Leggett & Platt - Corporate Offices,Carthage,Jasper,Southwest,Layoff,03/19/2020,200
05/18/2020,Atrium Hospitality - Jefferson City Capitol Plaza,Jefferson City,Cole,Central,Layoff,03/12/2020,108
05/18/2020,Atrium Hospitality -  Kansas City Embassy Suites,Kansas City,Platte,Kansas City & Vicinity,Layoff,03/12/2020,92
05/19/2020,Exide Technologies: Canon Hollow Facility,Forest City,Holt,Northwest,Layoff,07/02/2020,84
05/19/2020,Kellwood Apparel,Chesterfield,St. Louis County,St. Louis County,Layoff,04/01/2020,2
05/22/2020,21c Museum Hotel,Kansas City,Jackson,Kansas City & Vicinity,Layoff,05/26/2020,18
05/22/2020,Ameristar Casino Resort Spa - St. Charles,St. Charles,St. Charles County,St. Charles County,Layoff,07/01/2020,947
05/22/2020,Ameristar Casino Hotel - Kansas City,Kansas City,Clay,Kansas City & Vicinity,Layoff,07/01/2020,578
05/22/2020,Mercy Hospital - Springfield,Springfield,Greene,Ozark,Layoff,05/22/2020,696
05/22/2020,Mercy Hospital - St. Louis,Multiple Locations,St. Louis County,St. Louis County,Layoff,05/22/2020,663
05/22/2020,Pacific Architects and Engineers (PAE),Lee's Summit,Jackson,Kansas City & Vicinity,Layoff,05/29/2020,697
05/26/2020,"Merritt Hospitality, LLC - Hilton KC Airport",Kansas City,Platte,Kansas City & Vicinity,Layoff,05/27/2020,86
06/01/2020,Piramal Glass USA Inc.,Park Hills,St. Francois,Southeast,Layoff,07/31/2020,165
07/12/2018,"Teters Floral Product, Inc.",Bolivar,Polk,Ozark,Closing,07/09/2018,120
09/04/2018,"Brookstone Company, Inc.",Mexico,Audrain,Central,Closing,10/29/2018,84
09/14/2018,"Duke Manufacturing, Inc.",St. Louis,St. Louis City,St. Louis City,Closing,12/28/2018,60
09/17/2018,Shop 'n Save Warehouse Foods (St. Louis area),Multiple Locations,Multiple Locations,Multiple Locations,Closing,11/19/2018,788
09/18/2018,"Supervalu, Inc. Distribution Center",Hazelwood,St. Louis County,St. Louis County,Closing,11/19/2018,157
09/18/2018,"Elbeco, Inc. (Warsaw Manufacturing)",Warsaw,Benton,West Central,Closing,12/21/2018,47
09/19/2018,Connexions Loyalty,Florissant,St. Louis County,St. Louis County,Closing,11/21/2018,214
