Date,Company,Jobs Affected,City,Location
3/2/2019,Shopko Corporate Office,Closure,48,Lincoln,Lincoln - 3400 North 27th Street
3/1/2019,Capital One Financial,Layoff,4,Lincoln,Lincoln
2/28/2019,Sears,Closure,27,Grand Island,Grand Island
2/28/2019,Shopko xxxx,Closure,16,Kimball,Kimball
2/28/2019,Corps of Discovery Welcome Center,Closure,1,Crofton,Crofton
2/28/2019,Shopko Corporate Office,Closure,16,Kimball,Kimball
2/18/2019,Shopko Corporate Office,Closure,3,Broken Bow,Broken Bow
2/18/2019,Country Nest,Closure,0,Kearney,Kearney
2/18/2019,Shopko xxxx,Closure,3,Ainsworth,Ainsworth - Pharmacy
2/18/2019,Shopko Hometown xxxx,Closure,3,Broken Bow,Broken Bow - Pharmacy
1/31/2019,The Solid Rock,Closure,6,Kearney,Kearney
1/30/2019,Union Pacific,Closure,68,Morrill,Morrill
1/28/2019,Gap,Closure,,Lincoln,Lincoln
1/25/2019,US Bank,Closure,,Lincoln,Lincoln
1/25/2019,US Bank,Closure,1,North Platte,North Platte
1/17/2019,Blue Valley Bowl,Closure,3,Hebron,Hebron
1/15/2019,Sears Hometown Store,Closure,5,Beatrice,Beatrice
1/12/2019,Shopko Hometown Pharmacy xxxx,Closure,9,Wayne,Wayne
1/12/2019,Shopko Corporate Office,Closure,9,Wayne,Wayne
1/9/2019,Shopko Corporate Office,Closure,6,Lincoln,Lincoln - 4200 South 27th Street Pharmacy
1/9/2019,Shopko Corporate Office,Closure,4,Lincoln,Lincoln - 6845 South 27th Street Pharmacy
1/9/2019,Shopko Pharmacy xxxx,Closure,4,Lincoln,Lincoln Pine Lake
1/9/2019,Shopko Pharmacy xxxx,Closure,6,Lincoln,Lincoln 4200 S. 27th
1/8/2019,Shopko Pharmacy xxxx,Closure,,Lincoln,Lincoln 100 S. 66th
1/8/2019,Shopko Corporate Office,Closure,,Lincoln,Lincoln - 100 South 66th Street Pharmacy
1/4/2019,Diversified Foods & Seasoning,Closure,54,Nebraska City,Nebraska City
1/4/2019,Quad Graphics,Layoff,6,Sidney,Sidney
1/4/2019,Capital One Financial,Layoff,45,Lincoln,Lincoln
12/31/2018,Dr. Mausolf Ophthalmology,Closure,7,Lincoln,Lincoln
12/31/2018,PaymentSpring - Nelnet,Layoff,30,Omaha,Omaha
12/31/2018,Allstate Insurance,Layoff,14,Lincoln,Lincoln
12/28/2018,Kearney Little Learners,Closure,23,Kearney,Kearney
12/22/2018,CraftHouse,Closure,,Lincoln,Lincoln
12/22/2018,Shopko Corporate Office,Closure,12,Gordon,Gordon
12/22/2018,Shopko Corporate Office,Closure,16,Ogallala,Ogallala
12/22/2018,Shopko xxxx,Closure,12,Gordon,Gordon
12/22/2018,Shopko xxxx,Closure,16,Ogallala,Ogallala
12/21/2018,201 Tanning & Spa,Closure,2,Beatrice,Beatrice
12/15/2018,O'Connor's Irish Pub,Closure,3,Omaha,Omaha
12/7/2018,Capital One Financial,Layoff,155,Lincoln,Lincoln
12/2/2018,Shivers Sweets N Treats,Closure,2,Lincoln,Lincoln
11/27/2018,The Creative Teacher,Closure,,Kearney,Kearney
11/21/2018,Funshine Shop,Closure,2,Kearney,Kearney
11/16/2018,The Emporium Restaurant,Closure,11,Scottsbluff,Scottsbluff
11/16/2018,Quad Graphics,Layoff,30,Sidney,Sidney
11/14/2018,Jimmy's Egg,Closure,,Lincoln,Lincoln
10/31/2018,Five Guys,Closure,,Lincoln,Lincoln - Downtown
10/31/2018,The Donut Shop,Closure,2,Omaha,Omaha
10/27/2018,Lewis Greenscape,Closure,12,Grand Island,Grand Island
10/27/2018,Heartland Foods,Layoff,4,Beatrice,Beatrice
10/2/2018,Crafts Inc.,Layoff,3,Norfolk,Norfolk
10/1/2018,Jason Sears Flooring,Closure,3,O'Neill,O'Neill
9/30/2018,Big Top Party Shop,Closure,5,Norfolk,Norfolk
9/28/2018,Family 4Ward,Layoff,5,Scottsbluff,Scottsbluff
9/27/2018,Gamers,Closure,,Lincoln,Lincoln
9/27/2018,Gamers,Closure,,Omaha,Omaha
9/27/2018,Gamers,Closure,,La Vista,La Vista
9/18/2018,Poling Drug,Layoff,4,Beatrice,Beatrice
9/15/2018,Allen's Superstore,Closure,33,Hastings,Hastings
8/31/2018,Herbergers,Closure,80,Kearney,Kearney
8/31/2018,Save Best Store,Closure,8,Lincoln,Lincoln
8/31/2018,Herbergers,Closure,22,Norfolk,Norfolk
8/31/2018,Herbergers,Closure,47,North Platte,North Platte
8/31/2018,Herbergers,Closure,55,Scottsbluff,Scottsbluff
8/31/2018,Herbergers,Closure,13,Hastings,Hastings
8/31/2018,Younkers,Closure,90,Lincoln,Lincoln
8/31/2018,Younkers,Closure,141,Omaha,Omaha - Oakview Mall
8/31/2018,Younkers,Closure,80,Grand Island,Grand Island
8/31/2018,Younkers,Closure,190,Omaha,Omaha - Westroads Mall
8/29/2018,Nebraska Auto Auction,Closure,5,Lincoln,Lincoln
8/26/2018,Ruby Tuesday,Closure,45,Grand Island,Grand Island
8/20/2018,Pet Kingdom,Closure,,Kearney,Kearney
8/17/2018,Ariens,Closure,194,Auburn,Auburn
7/31/2018,Erbert & Gerbert's Sandwich Shop,Closure,7,Kearney,Kearney
7/29/2018,Lutheran Home,Closure,38,Omaha,Omaha
7/27/2018,Brightstar,Closure,53,Omaha,Omaha
7/20/2018,Staples,Closure,12,North Platte,North Platte
7/5/2018,Serendipity,Closure,1,Norfolk,Norfolk
7/2/2018,MB Financial Bank,Layoff,31,Omaha,Omaha
7/2/2018,Little Blessings,Closure,7,Lincoln,Lincoln
7/2/2018,Little Blessings,Closure,13,Omaha,Omaha
6/30/2018,Akin's Natural Foods,Closure,10,Lincoln,Lincoln
6/30/2018,Adams County Senior Services,Closure,9,Hastings,Hastings
6/30/2018,Randolph Car Wash,Closure,20,Lincoln,Lincoln
6/30/2018,Shopko Corporate Office,Closure,12,Crete,Crete
6/30/2018,Joseph's College,Closure,2,North Platte,North Platte
6/30/2018,Building Healthy Futures,Closure,5,Omaha,Omaha
6/30/2018,Shopko xxxx,Closure,12,Crete,Crete
6/29/2018,Maximus,Closure,41,Omaha,Omaha
6/27/2018,Toys-R-Us,Closure,30,Lincoln,Lincoln
6/27/2018,Toys-R-Us,Closure,30,Omaha,Omaha
6/27/2018,Toys-R-Us,Closure,30,Lincoln,Lincoln
6/27/2018,Toys-R-Us,Closure,30,Omaha,Omaha - Oakview Mall
6/24/2018,Lyons Living Center,Closure,30,Lyons,Lyons
6/22/2018,PureRed Integrated Marketing,Closure,19,Norfolk,Norfolk
6/21/2018,Center for People in Need,Layoff,3,Lincoln,Lincoln
6/15/2018,Farner Company,Closure,17,Norfolk,Norfolk
6/15/2018,Good Samaritan Assisted Living,Closure,7,Scribner,Scribner
6/14/2018,Applebee's,Closure,5,Hastings,Hastings
5/31/2018,The Minuteman Hotel,Layoff,4,Lexington,Lexington
5/31/2018,Roadrunner Temperature Controlled,Layoff,28,Omaha,Omaha
5/31/2018,Grace University,Closure,135,Omaha,Omaha
5/31/2018,Convergys Corporation,Closure,123,Omaha,Omaha
5/16/2018,Wells Fargo,Closure,18,Grand Island,Grand Island
5/10/2018,Cenveo Corporation,Layoff,52,Omaha,Omaha
5/4/2018,Streck,Layoff,9,La Vista,La Vista
5/4/2018,Runza,Closure,19,Lincoln,Lincoln
5/1/2018,Maaschhoff's,Layoff,9,Wolbach,Wolbach
5/1/2018,Liberty Cleaners,Closure,3,Hastings,Hastings
5/1/2018,Liberty Cleaners,Closure,3,North Platte,North Platte
5/1/2018,Liberty/Deluxe Cleaners,Closure,3,York,York
5/1/2018,Perkins Restaurant & Bakery,Closure,15,Lincoln,Lincoln - N 48th
4/29/2018,Kearney County Health Services,Closure,55,Minden,Minden
4/26/2018,Charter Spectrum,Layoff,55,Lincoln,Lincoln
4/20/2018,Nebraska Transport Company,Layoff,8,Gering,Gering
4/6/2018,C & C Specialty Market,Closure,3,Beatrice,Beatrice
4/4/2018,PCT Livestock,Closure,2,St. Libory,St. Libory
4/3/2018,Direct Check,Closure,1,McCook,McCook
4/2/2018,Eagle Distributing,Layoff,2,Norfolk,Norfolk
4/2/2018,Election Systems & Software,Layoff,1,Omaha,Omaha
4/2/2018,Corelink Administrative Solutions,Layoff,14,Fargo,HQ
4/1/2018,Great Plains Health,Layoff,7,North Platte,North Platte
3/31/2018,Defy Gravity Trampoline Park,Closure,,La Vista,La Vista
3/29/2018,Nifast,Closure,4,Beatrice,Beatrice
3/28/2018,Justice,Closure,2,Norfolk,Norfolk
3/28/2018,Wells Fargo,Closure,6,McCook,McCook
3/25/2018,Claire's,Closure,,North Platte,North Platte
3/18/2018,Tanner's Bar and Grill,Closure,10,Lincoln,Lincoln
3/16/2018,Methodist Hospital Hospice,Closure,60,Omaha,Omaha
3/12/2018,Three Eighteen on the Avenue,Closure,3,Norfolk,Norfolk
3/7/2018,Tidal Gas Station,Closure,4,North Platte,North Platte
2/28/2018,Schwartz Enterprises of NE,Closure,16,Chappell,Chappell
2/27/2018,Heartland Motors,Closure,2,Beatrice,Beatrice
2/26/2018,Hickory Road BBQ,Closure,10,Lincoln,Lincoln
2/25/2018,Taco Bell,Closure,18,North Platte,North Platte
2/20/2018,Omaha World Herald,Layoff,24,Bellevue,Bellevue
2/15/2018,Chocolatier Blue,Closure,1,Lincoln,Lincoln
2/15/2018,Lot 2 Restaurant and Wine Bar,Closure,15,Omaha,Omaha
2/14/2018,Strategic Health Solutions,Closure,41,Omaha,Omaha
2/11/2018,Village Inn,Closure,32,Lincoln,Lincoln
2/8/2018,"Heartland Products-Hog Slat, Inc.",Layoff,5,Columbus,Columbus
2/6/2018,YMCA,Closure,1,Grand Island,Grand Island
2/5/2018,Schlotzsky's,Closure,13,Lincoln,Lincoln
2/1/2018,Lead & Stone,Closure,,Norfolk,Norfolk
1/31/2018,Bart's Detasseling,Closure,,Beaver Crossing,Beaver Crossing
1/30/2018,GCR (Firestone),Closure,7,North Platte,North Platte
1/29/2018,Fair Deal Cafe,Closure,,Omaha,Omaha
1/29/2018,Beatrice Daily Sun,Layoff,1,Beatrice,Beatrice
1/29/2018,Lincoln Journal Star,Layoff,4,Lincoln,Lincoln
1/26/2018,Wahoo's Fish Taco,Closure,,Lincoln,Lincoln
1/26/2018,Company Kitchen,Closure,3,Omaha,Omaha
1/25/2018,Windstream Communications,Layoff,5,Lincoln,Lincoln
1/23/2018,Oklahoma Joe's,Closure,,Lincoln,Lincoln
1/21/2018,Perkins Restaurant & Bakery,Closure,29,Lincoln,Lincoln - NW 12th
1/19/2018,Austad's Golf,Closure,6,Lincoln,Lincoln
1/19/2018,Watering Hole,Closure,,Lincoln,Lincoln
1/14/2018,Kmart,Closure,44,Omaha,Omaha
1/11/2018,"Liberty Mobility Now, Inc.",Closure,29,Lincoln,Lincoln
1/6/2018,Shopko xxxx,Closure,15,Omaha,Omaha - Southwest
1/6/2018,Shopko Corporate Office,Closure,15,Omaha,Omaha - 3020 South 84th Street
1/2/2018,Strouds,Closure,,Omaha,Omaha
1/1/2018,Dugger's Cafe,Closure,20,Omaha,Omaha
12/31/2017,Progress Rail,Closure,39,Gering,Gering
12/31/2017,Good Samaritan Society,Closure,50,Alliance,Alliance
12/31/2017,Eagle Grocery,Closure,5,Eagle,Eagle
12/31/2017,Reicherts Jewelry,Closure,3,Ogallala,Ogallala
12/29/2017,Union Tank Car,Closure,12,Omaha,Omaha
12/29/2017,Stagecoach Mall,Closure,5,Fairbury,Fairbury
12/29/2017,Black Hills Energy,Layoff,5,Lincoln,Lincoln
12/28/2017,MJ's Restaurant,Closure,,Scottsbluff,Scottsbluff
12/24/2017,Charming Charlie,Closure,15,Papillion,Papillion
12/23/2017,"Hobbe""s"" Restaurant",Closure,8,North Platte,North Platte
12/23/2017,Cottonwood,Closure,15,Lincoln,Lincoln
12/20/2017,Herzing University,Layoff,8,Omaha,Omaha
12/18/2017,CHS,Closure,63,South Sioux City,South Sioux City
12/15/2017,Buss Stop Petro,Closure,5,Beatrice,Beatrice
12/15/2017,Foster Lumber Company,Closure,6,Sidney,Sidney
12/12/2017,ADM Milling,Layoff,4,Lincoln,Lincoln
12/10/2017,Bread & Cup,Closure,30,Lincoln,Lincoln
12/8/2017,Canfield's Sporting Goods,Closure,,Omaha,Omaha
12/2/2017,Century Link,Layoff,1,Omaha,Omaha
11/30/2017,Data Transmission Network,Layoff,53,Omaha,Omaha
11/12/2017,Smart Room,Closure,,Lincoln,Lincoln
11/11/2017,The Shed Grill & Spirits,Closure,,Scottsbluff,Scottsbluff
11/10/2017,Hood Packaging Corporation,Closure,100,Omaha,Omaha
11/8/2017,Axius Services,Closure,3-5,Norfolk,Norfolk
11/7/2017,Penair,Closure,,North Platte,North Platte
11/6/2017,Whiskey Creek Wood Fire Grill,Closure,24,Scottsbluff,Scottsbluff
10/31/2017,Pizza Hut,Closure,12,Gering,Gering
10/27/2017,"Mark of Honor Youth Lodge, Inc.",Closure,10,Lincoln,Lincoln
10/27/2017,"Willsie Cap & Gown, Inc.",Closure,8,Omaha,Omaha
10/22/2017,Gusto Cuban Cafe,Closure,4,Ralston,Ralston
10/22/2017,Boston Market,Closure,,Lincoln,Lincoln
10/20/2017,Life Quest,Closure,12,Palmer,Palmer
10/19/2017,Chevy's Fresh Mex,Closure,,Lincoln,Lincoln
10/8/2017,RHD,Layoff,80,Omaha,Omaha
10/8/2017,RHD,Layoff,80,Lincoln,Lincoln
10/4/2017,McFarland & Sons,Closure,,Lincoln,Lincoln
10/1/2017,Northside Cafe,Closure,,Lincoln,Lincoln
9/30/2017,Together,Layoff,2,Omaha,Omaha
9/29/2017,American Red Cross,Closure,133,Omaha,Recruitment Center
9/27/2017,Rent A Center,Closure,4,Beatrice,Beatrice
8/15/2017,Choice Floor Specialists,Closure,3,York,York
8/11/2017,Joe's Crab Shack,Closure,,Omaha,Omaha
8/4/2017,Dr. Leonard's Healthcare Corporation,Closure,170,Lincoln,Lincoln
7/24/2017,Marshfield Food Safety Services,Closure,18,Schuyler,Schuyler
7/19/2017,Black Hills Energy,Layoff,35,Papillion,Papillion
7/16/2017,Prengers,Closure,25,Norfolk,Norfolk
7/15/2017,Game Cycle,Closure,1,Beatrice,Beatrice
7/15/2017,Doc's Place,Closure,,Lincoln,Lincoln
7/11/2017,Ploughshare,Closure,,Lincoln,Lincoln
7/10/2017,Tiger Town Food and Floral Center,Closure,,Osmond,Osmond
7/1/2017,Good Air Home Medical Equipment,Closure,6,Ogallala,Ogallala
6/30/2017,Integrated Life Choices,Layoff,8,Beatrice,Beatrice
6/30/2017,Nebraska Bull Service,Layoff,14,McCook,McCook
6/23/2017,"MWD Steel Fabrication, LLC",Closure,20,Lincoln,Lincoln
6/16/2017,"Dickey's Barbeque Restaurants, Inc",Closure,,Lincoln,Lincoln
5/22/2017,TCBY,Closure,,Lincoln,O Street - Lincoln
5/1/2017,Speak Out,Closure,4,Scottsbluff,P.O. Box 1066
4/28/2017,Family Christian,Closure,,Lincoln,Lincoln
4/24/2017,Da Buzz,Closure,4,North Platte,North Platte
4/24/2017,Good Samaritan Society,Layoff,40,Wymore,Wymore
4/21/2017,Ragazzi's Pizza,Closure,,Ralston,Ralston
4/17/2017,Epworth Village,Layoff,13,York,York
4/17/2017,Rue 21,Closure,9,North Platte,North Platte
4/17/2017,Rue 21,Closure,12,Lincoln,Lincoln -Wilderness Hills
4/17/2017,Rue 21,Closure,14,Gretna,Gretna
4/17/2017,Gothenburg Medical Arts,Closure,4,Gothernburg,Gothenburg
4/7/2017,Omaha Truck and Trailer,Layoff,2,Bellevue,Omaha
4/1/2017,Nathan Detroit's,Closure,,Grand Island,Grand Island
3/31/2017,Envision,Closure,15,Norfolk,Norfolk
3/31/2017,Resource Real Estate Management,Layoff,6,Omaha,Omaha
3/31/2017,Big Apple Bagels,Closure,3,Norfolk,Norfolk
3/28/2017,Casey's,Closure,15,West Point,West Point
3/27/2017,Hallmark,Closure,13,Lincoln,Norfolk
3/27/2017,Vanity,Closure,7,Grand Island,Grand Island
3/27/2017,Vanity,Closure,7,Kearney,Kearney
3/27/2017,Vanity,Closure,7,Lincoln,Lincoln
3/27/2017,Vanity,Closure,5,Norfolk,Norfolk
3/27/2017,Vanity,Closure,12,North Platte,North Platte
3/27/2017,Vanity,Closure,8,Omaha,Omaha
3/27/2017,Vanity,Closure,5,Omaha,Omaha - California Street
3/27/2017,Vanity,Closure,7,Scottsbluff,Scottsbluff
3/24/2017,Western Convenience Stores - Restaurant,Layoff,9,Hershey,Hershey
3/23/2017,"General Wireless Operations, Inc dba Radio Shack",Closure,5,Omaha,Dodge Street - Omaha
3/23/2017,"General Wireless Operations, Inc dba Radio Shack",Closure,2,Fremont,Eastgate Plaza - Fremont
3/23/2017,"General Wireless Operations, Inc dba Radio Shack",Closure,2,Lincoln,Lincoln Crossing - Lincoln
3/23/2017,"General Wireless Operations, Inc dba Radio Shack",Closure,5,Omaha,Maplewood Plaza - Omaha
3/23/2017,"General Wireless Operations, Inc dba Radio Shack",Closure,4,Omaha,Stockyards Plaza - Omaha
3/23/2017,"General Wireless Operations, Inc dba Radio Shack",Closure,3,Norfolk,Sunset Plaza - Norfolk
3/23/2017,"General Wireless Operations, Inc dba Radio Shack",Closure,3,Lincoln,Van Dorn Plaza - Lincoln
3/21/2017,Delta Enterprises - MidAmerica Vision,Layoff,4,Fairbury,Fairbury
3/18/2017,Sun Mart,Closure,25,Ogalalla,Ogalalla
3/14/2017,Cabela's x,Layoff,70,Sidney,Sidney
3/14/2017,Cabela's Corporation,Layoff,70,Sidney,Cabela's Store - Sidney
3/11/2017,Pizza Shoppe,Closure,8,Omaha,Benson
3/10/2017,Capriottis,Closure,0,Lincoln,S. 11th Street
3/9/2017,Nebraska Book Company,Layoff,40,Lincoln,Lincoln
3/1/2017,Titan Machinery,Layoff,,Broken Bow,Broken Bow
2/28/2017,City of Fairbury,Closure,,Fairbury,Fairbury
2/28/2017,Nebraska State Patrol-Communications Center,Layoff,9,Lincoln,Lincoln
2/27/2017,PureRed Integrated Marketing,Layoff,3,Norfolk,Norfolk
2/23/2017,Creighton University,Layoff,6,Omaha,Omaha
2/22/2017,Amy's Hallmark,Closure,9,Fremont,Fremont
2/21/2017,Lutheran Family Services,Layoff,8,Omaha,Omaha
2/20/2017,Cleaver Brooks,Layoff,2,Lincoln,Lincoln
2/17/2017,Cleaver Brooks,Layoff,23,Lincoln,Lincoln
2/16/2017,First National Bank,Layoff,65,Omaha,Omaha
2/16/2017,Sunmart,Closure,25,Ogallala,Ogallala
2/16/2017,Sunmart,Closure,25,Ogalalla,Ogalalla
2/15/2017,R Way Mental Health Rehabilitation,Closure,25,Wayne,Wayne
2/14/2017,Brix - Village Point,Closure,45,Omaha,Village Point
2/14/2017,Taco Inn,Closure,16,Lincoln,Lincoln
2/3/2017,Sunflower Marketing,Closure,14,Geneva,"Geneva, NE"
1/31/2017,Bentley Fine Jewelry and Repair,Closure,1,Scottsbluff,Scottsbluff
1/31/2017,Shopko xxxx,Closure,75,Omaha,Omaha Store
1/28/2017,Pendleton Woolen Mills,Closure,4,Nebraska City,Nebraska City
1/28/2017,Braeda,Closure,14,Lincoln,Lincoln
1/27/2017,NCI Building Systems,Closure,30,Omaha,Omaha
1/27/2017,Catholic Charities,Closure,28,Omaha,Omaha
1/27/2017,Midwest Medical Transport,Closure,5,North Platte,North Platte
1/26/2017,Simply Mac,Closure,6,Lincoln,Gateway Mall
1/14/2017,The Children's Place,Closure,14,Lincoln,Lincoln
1/14/2017,Zoup,Closure,8,Lincoln,Lincoln
1/12/2017,Brix,Closure,45,Omaha,Midtown Crossing
1/12/2017,Brix,Closure,42,Omaha,Village Point
1/12/2017,Brix - Midtown Crossing,Closure,42,Omaha,Midtown Crossing
1/12/2017,Brix - Village Point,Closure,45,Omaha,Village Point
1/12/2017,Brix - Village Point,Closure,45,Omaha,Village Point
1/11/2017,The Limited,Closure,15,Gretna,Nebraska Crossing Outlet Mall
1/11/2017,The Limited,Closure,15,Omaha,Oakview Mall
1/7/2017,Western Trails Sports Post,Closure,4,Scottsbluff,Scottsbluff
1/7/2017,Yates Motors,Closure,1,Gering,Gering
1/4/2017,Great Wraps,Closure,2,Lincoln,Gateway Mall
1/4/2017,Great Wraps,Closure,0,Lincoln,Gateway Mall
12/31/2016,McKesson Corporation,Closure,80,La Vista,La Vista
12/31/2016,Pizza Hut,Closure,,Falls City,Falls City
12/31/2016,Bellar Feedlot,Closure,22,Wisner,Wisner
12/30/2016,Catholic Charities,Closure,25,Columbus,Columbus
12/30/2016,Andrew's Van Lines,Closure,13,Norfolk,Norfolk
12/24/2016,China Road,Closure,15,Bellevue,Bellevue
12/11/2016,K-Mart Kearney,Closure,35,Kearney,Kearney
12/11/2016,K-Mart,Closure,40,Scottsbluff,Scottsbluff
12/11/2016,K-Mart,Closure,35,Kearney,Kearney
12/9/2016,The Original Korn Popper,Closure,4,Lincoln,Lincoln
12/6/2016,Piedmont Bistro,Closure,30,Lincoln,Lincoln
12/3/2016,Sarpy County Landfill,Closure,10,,Sarpy County
12/3/2016,Lukasiewicz Furniture,Closure,3,Farwell,Farwell
12/2/2016,Gering Citizen Newspaper,Closure,2,Gering,Gering
12/1/2016,Mission Foods,Layoff,13,Omaha,Omaha
11/30/2016,USA Steak Buffet,Closure,15,Fremont,Fremont
11/6/2016,Dempsey's Burger Pub,Closure,,Lincoln,Lincoln
10/31/2016,Hastings Entertainment - Grand Island,Closure,20,Grand Island,Hastings Entertainment-Grand Island
10/31/2016,Hastings Entertainment-Kearney,Closure,,Kearney,Hastings Entertainment-Kearney
10/23/2016,Affiliated Foods,Layoff,50,Norfolk,Norfolk
10/20/2016,Orthman Manufacturing,Layoff,16,Lexington,Lexington
10/19/2016,Chief Transportation Products,Layoff,23,Omaha,Omaha
10/14/2016,SWBC,Layoff,15,Scottsbluff,Scottsbluff
10/11/2016,Flatwater Bistro,Closure,46,Lincoln,Lincoln
10/2/2016,VF Factory Outlet,Closure,10,Nebraska City,Nebraska City
10/1/2016,Bag'n Save/No Frills,Closure,40,York,York
9/30/2016,Heartland Craft Mall,Closure,1,Nebraska City,Nebraska City
9/30/2016,Beacon Hills Restaurant,Closure,,Lincoln,Lincoln
9/30/2016,D.L. Blair,Closure,14,Blair,Blair
9/30/2016,Mystery Bookstore,Closure,1,Omaha,Omaha
9/24/2016,Bohemian Cafe,Closure,,Omaha,Omaha
9/23/2016,OMALiNK,Closure,,Lincoln,Lincoln
9/22/2016,Pizza Hut,Closure,13,David City,David City
9/9/2016,Cabela's Corporation,Layoff,120,Sidney,Cabela's Store - Sidney
9/9/2016,Bimbo Bakeries - Hastings,Closure,121,Hastings,Hastings
9/9/2016,Cabela's x,Layoff,120,Sidney,Sidney
9/2/2016,SWBC,Layoff,30,Scottsbluff,Scottsbluff
9/1/2016,North Platte Veterinary Clinic,Closure,9,North Platte,North Platte
8/31/2016,Java Pointe,Closure,,Norfolk,Norfolk
8/21/2016,Austad's Golf,Closure,9,Lincoln,Lincoln
8/13/2016,RubyTuesday,Closure,,Omaha,Omaha
8/9/2016,Korf Continental,Closure,3,Scottsbluff,Scottsbluff
8/1/2016,SWBC,Layoff,35,Scottsbluff,Scottsbluff
7/31/2016,Kmart,Closure,,Hastings,Hastings
7/28/2016,The Midwife's Place,Closure,12,Bellevue,Bellevue
6/26/2016,"Hy-Vee, Inc.",Closure,,Omaha,Omaha L St
6/24/2016,Midwest Roofing,Closure,10,Lincoln,Lincoln
6/17/2016,"Canning Truck Service, Inc.",Closure,14,Fairbury,Fairbury
6/13/2016,Brentwood Touch Free Auto Wash & Detail,Closure,,La Vista,La Vista
6/1/2016,Orscheln Farm & Home Supply,Closure,5,Falls City,Falls City
5/31/2016,Liberty Social Hall,Closure,,Papillion,Papillion
5/31/2016,Goodwill's Reserve 99,Closure,,Omaha,Omaha
5/31/2016,Burger Star/Big Cheese,Closure,,Gretna,Gretna
5/31/2016,Adam Michael Jewelry,Closure,0,Omaha,Omaha
5/31/2016,Education Service Unit No-9,Layoff,,Hastings,Hastings
