Track #,Notification Date,Layoff Type,Count,Employer,City,Notice
1917,03/07/2012,Reduction,55,Symantec Corporation,Beaverton,
1916,02/01/2012,Permanent closure,1,Schneider National Inc.,"Green Bay, WI",
1915,01/31/2012,Permanent closure,50,MASCO Bath,"Moorestown, NJ",
1914,01/17/2012,Permanent closure,102,"Monaco RV, LLC",Coburg,
1913,01/13/2012,Permanent closure,17,URS - UMCDF,Hermiston,
1912,12/22/2011,Large Layoff - 10 or more workers,94,"MEMC Electronic Materials, Inc.",Portland,
1911,11/22/2011,Permanent closure,,"Integrated Device Technology, Inc. (IDT)",Hillsboro,
1910,10/25/2011,Permanent closure,120,"Premier Pacific Vineyard Management, LLC","Napa, CA",
1909,09/20/2011,Large Layoff - 10 or more workers,35,"Pace American Enterprises, Inc.",Lebanon,
1908,07/18/2011,Permanent closure,90,Nationwide Insurance,"Columbus, OH",
1907,07/14/2011,Permanent closure,160,"Musician's Friend, Inc.",Medford,
1906,05/23/2011,Permanent closure,58,Insight Schools,Portland,
1872,02/24/2011,Permanent closure,181,Blue Heron Paper Company,Oregon City,
1871,02/22/2011,Permanent closure,72,"Haggen, Inc.",,
1870,10/15/2010,Reduction,55,Silver Eagle Company,Portland,
1869,12/02/2010,Permanent closure,83,Liberty Homes Inc.,Sheridan,
1868,12/02/2010,Permanent closure,51,Zip Realty,Tigard,
1867,12/02/2010,Permanent closure,80,"bioMerieux, Inc.",Wilsonville,
1866,10/07/2010,Reduction,152,Hines Nurseries,Forest Grove,
1865,09/24/2010,Permanent closure,109,Wealthbridge Mortgage,Beaverton,
1863,08/03/2010,Permanent closure,32,Alcan Cable,Roseburg,
1862,07/27/2010,Permanent closure,94,Gladstone Honda & Gladstone Nissan,Gladstone,
1860,06/09/2010,Permanent closure,196,Senvoy,Portland,
1859,05/19/2010,Large Layoff - 10 or more workers,150,"Sunwest Management, Inc.",Salem,
1858,05/14/2010,Permanent closure,60,Havi Logistics,Portland,
1857,05/03/2010,Permanent closure,600,"Movie Gallery, Inc.",Wilsonville,
1856,04/28/2010,Permanent closure,19,IGT,Corvallis,
1855,03/23/2010,Permanent closure,100,Saks Fifth Avenue,Portland,
1854,03/01/2010,Large Layoff - 10 or more workers,68,Artex Aircraft Supplies,Aurora,
1848,01/21/2010,Large Layoff - 10 or more workers,55,Auto Warehousing Co.,"Tacoma, WA",
1847,01/06/2010,Large Layoff - 10 or more workers,65,Alcan Cable,Roseburg,
1846,12/23/2009,Permanent closure,100,"Means Nursery, Inc.",Scappoose,
1845,12/14/2009,Permanent closure,188,Suntron,Newberg,
1844,12/08/2009,Permanent closure,139,"Baker and Taylor, Inc.","Momence, IL",
1843,12/07/2009,Permanent closure,140,Weyerhaeuser,Warrenton,
1842,11/12/2009,Large Layoff - 10 or more workers,336,"Sykes Enterprises, Incorporated","Tampa, FL",
1841,11/09/2009,Permanent closure,72,"Mount Bachelor Educational Center, Inc.",Prineville,
1840,11/04/2009,Permanent closure,42,"Sun Microsystems, Inc.",Hillsboro,
1839,10/23/2009,Permanent closure,25,Pepsi,,
1833,10/07/2009,Permanent closure,106,"Canron Western Constructors, Inc.",Portland,
1832,10/06/2009,Permanent closure,94,"Ferguson Enterprises, Inc.","Newport News, VA",
1825,09/18/2009,Large Layoff - 10 or more workers,52,"LAIKA, Inc.",Portland,
1824,09/18/2009,Permanent closure,183,Benchmark Electronics,Beaverton,
1823,09/01/2009,Permanent closure,46,Crossmark,"Plane, TX",
1820,08/21/2009,Reduction,39,Metso Minerals,Portland,
1819,08/17/2009,Permanent closure,158,Cleanpak International,Clackamas,
1814,08/12/2009,Large Layoff - 10 or more workers,14,"Crossroad Services, Inc.","Orange, CA",
1808,07/07/2009,Large Layoff - 10 or more workers,60,InFocus,Wilsonville,
1807,07/02/2009,Permanent closure,89,Fleetwood Homes,Woodburn,
1802,07/02/2009,Large Layoff - 10 or more workers,109,RM International,Portland,
1795,06/04/2009,Permanent closure,125,"Philips Products, Inc.",Stayton,
1794,06/02/2009,Permanent closure,62,Nypro,"Clinto, MA",
1792,06/02/2009,Reduction,50,Hach Ultra Analytics,Grants Pass,
1761,05/21/2009,Permanent closure,154,"Artex Aircraft Supplies, Inc.",Aurora,
1760,05/15/2009,Permanent closure,162,Market Strategies International,Portland,
1759,05/14/2009,Large Layoff - 10 or more workers,500,Nike,Beaverton,
1758,04/28/2009,Permanent closure,53,Rose City Cafe,Portland,
1757,04/16/2009,Permanent closure,75,Albany Trucking,Albany,
1756,04/14/2009,Permanent closure,157,North River Boats,Roseburg,
1755,04/10/2009,Reduction,17,Nike,Beaverton,
1754,04/07/2009,Large Layoff - 10 or more workers,85,Hampton Affiliates,Portland,
1753,04/06/2009,Permanent closure,19,JP Morgan Chase,"Metairie, LA",
1752,03/31/2009,Large Layoff - 10 or more workers,225,Evraz Inc.,Portland,
1750,05/01/2009,Large Layoff - 10 or more workers,120,Boise Cascade,La Grande,
1749,03/17/2009,Permanent closure,55,HiRel Systems LLC,"Minnetonka, MN",
1748,03/10/2009,Large Layoff - 10 or more workers,59,Weyerhaeuser Warrenton Lumber Mill,Warrenton,
1747,03/09/2009,Permanent closure,253,"Fleetwood Enterprises, Inc.","Riverside, CA",
1746,03/09/2009,Permanent closure,162,"Fleetwood Enterprises, Inc.","Riverside, CA",
1745,03/02/2009,Reduction,1396,Monaco Coach Corporation,Coburg,
1736,03/17/2009,Permanent closure,78,Weyerhaeuser-Dallas Lumber,Dallas,
1735,02/20/2009,Permanent closure,47,Verizon Wireless,"Basking Ridge, NJ",
1734,02/19/2009,Large Layoff - 10 or more workers,190,"Joe's Sports, OUtdoor & More",Wilsonville,
1733,02/11/2009,Reduction,80,Cascade Healthcare Community,Bend,
1731,02/06/2009,Large Layoff - 10 or more workers,98,Bright Wood Corporation,Madras,
1730,01/13/2009,Permanent closure,113,Boise Cascade - White City,Medford,
1729,01/12/2009,Permanent closure,110,Sauer-Danfoss Company,Hillsboro,
1728,01/12/2009,Large Layoff - 10 or more workers,222,GE Security,Tualatin,
1727,01/05/2009,Permanent closure,105,BMC West/Select Build,"Boise, ID",
1726,01/05/2009,Large Layoff - 10 or more workers,460,Country Coach,Junction City,
1725,12/22/2008,Large Layoff - 10 or more workers,27,North Sky Communications,"Vancouver, WA",
1724,12/09/2008,Permanent closure,54,"Lime Financial Services, Ltd.",Lake Oswego,
1723,02/04/2009,Permanent closure,15,Shorewood Packaging,Springfield,
1722,11/17/2008,Large Layoff - 10 or more workers,300,"Boise Paper Holdings, LLC","Boise, ID",
1721,11/21/2008,Permanent closure,280,DHL,Tigard,
1720,10/17/2008,Permanent closure,174,Bayliner/US Marine,Roseburg,
1719,10/06/2008,Permanent closure,14,Johnson Controls,"Chandler, AZ",
1718,10/03/2008,Permanent closure,74,Gate Gourmet,Portland,
1717,08/29/2008,Permanent closure,90,ACS Business Process Solutions,Portland,
1716,08/12/2008,Permanent closure,60,URS Washington Division,Beaverton,
1712,07/31/2008,Permanent closure,1000,Hynix Semiconductor Manufacturing Americ,Eugene,
1710,07/17/2008,Permanent closure,374,Gold River Distributing,Medford,
1709,07/16/2008,Permanent closure,771,Columbia Distributing Co.,"Renton, WA",
1708,07/16/2008,Reduction,809,Mt. Hood Beverage,Portland,
1707,07/15/2008,Permanent closure,130,Kelly Services,Wilsonville,
1706,07/11/2008,Permanent closure,3,American Airlines,"Dallas, TX",
1696,07/07/2008,Permanent closure,53,Windsor Capital Inc,"Santa Monica, CA",
1695,06/26/2008,Permanent closure,74,Kerry Inc.,"Beloit, WI",
1689,06/24/2008,Permanent closure,114,"Pope & Talbot, Inc.",Halsey,
1686,05/28/2008,Permanent closure,75,Gage Industires,Lake Oswego,
1683,05/20/2008,Permanent closure,84,Skyline McMinnville Nomad Division,McMinnville,
1682,05/14/2008,Permanent closure,53,RoadLink IntermodaLogistics,"Phoenix, AZ",
1679,04/21/2008,Permanent closure,82,Homette Corporation,McMinnville,
1675,04/02/2008,Permanent closure,57,TransOcean Products,"Bellingham, WA",
1671,03/25/2008,Permanent closure,160,"Redman Housing, Inc.",Silverton,
1667,03/14/2008,Permanent closure,,Burley Design LLC,Eugene,
1664,03/03/2008,Permanent closure,50,Macy's Northwest,"Torrance, CA",
1656,02/19/2008,Permanent closure,30,US Timber,Baker City,
1655,02/15/2008,Permanent closure,51,Coe Manufacturing,Tigard,
1653,02/13/2008,Permanent closure,88,Bay Valley Foods,Portland,
1652,02/13/2008,Large Layoff - 10 or more workers,20,"Unitrin, Inc.","Dallas, TX",
1651,02/12/2008,Permanent closure,6,"Norton Lumber Co., Inc.",White City,
1648,01/29/2008,Permanent closure,162,Roberts Motor Company,Portland,
1647,01/29/2008,Permanent closure,45,"Johnny Cat Inc., Construction",Jacksonville,
1645,01/23/2008,Permanent closure,438,Nationwide Insurance,,
1635,01/09/2008,Permanent closure,133,Merix Corporation,Beaverton,
1622,12/10/2007,Permanent closure,8,Ideal Merchandising Division of,"Apollo Beach, FL",
1620,12/13/2007,Permanent closure,60,Umpqua Lumber Co.,Dillard,
1615,12/06/2007,Permanent closure,131,Masterbrand Cabinets,Hillsboro,
1602,10/15/2007,Permanent closure,56,Weyerhaeuser - Eugene + Junction City,Junction City,
1596,01/22/2009,Reduction,19,"Sun Microsystems, Inc.","Santa Clara, CA",
1580,08/24/2007,Permanent closure,38,"GreenPoint Mortgage Funding, Inc.","Novato, CA",
1562,07/18/2007,Permanent closure,,Actuant (Kwikee Products),"Mishawaka, IN",
1552,07/06/2007,Permanent closure,130,"Maco Wood Products, Inc",Clackamas,
1543,07/03/2007,Permanent closure,61,JM Eagle,"Livingston, NJ",
1501,05/09/2007,Permanent closure,780,Global Spectrum - Rose Garden Portland,"Philadelphia, PA",
1492,04/26/2007,Permanent closure,,"First Student, Inc.","Cincinnati, OH",
1482,04/03/2007,Permanent closure,,Cosmo Stores Services,"Orange, CA",
1463,02/16/2007,Permanent closure,51,Washington Mutual,"Stockton, CA",
1462,02/16/2007,Permanent closure,,"Only One Dollar Store, DBA","Boise, ID",
1383,11/27/2006,Permanent closure,174,"Seaswirl/GENMAR Holdings, Inc.","Minneapolis, MN",
1369,10/23/2006,Permanent closure,76,Weyerhaeuser-Bauman Site,Lebanon Linn County,
1362,11/08/2006,Permanent closure,919,Copeland Entrprs-PDXEugeneMedfordSalem,"San Luis Obispo, CA",
1361,11/14/2006,Permanent closure,142,Macy's-Downtown Portland,"Boise, ID",
1358,11/13/2006,Permanent closure,151,Meritage Mortgage Corporation/NetBank,Beaverton,
1357,11/09/2006,Permanent closure,39,ShopKo - Eugene,"Green Bay, WI",
1353,10/06/2006,Permanent closure,802,Freightliner - Portland,Portland,
1352,11/01/2006,Permanent closure,,Boise Cascade - LaGrande,LaGrande,
1350,10/30/2006,Permanent closure,,C & D Technologies,"Mansfield, MA",
1332,09/05/2006,Permanent closure,101,Whittier Wood Products,Eugene,
1295,08/04/2006,Permanent closure,68,Foster Farms,"Livingston, CA",
1293,07/27/2006,Permanent closure,,"Albertsons, Inc.","Boise, ID",
1289,07/20/2006,Permanent closure,175,Qwest - downtown Portland call center,"Denver, CO",
1262,05/30/2006,Permanent closure,38,Trans-Ocean Products,"Bellingham, WA",
1249,05/02/2006,Permanent closure,99,Cenveo Graphic Arts Center - Portland,Portland,
1235,03/31/2006,Permanent closure,82,Ace Parking Management,"San Diego, CA",
1221,03/09/2006,Permanent closure,9,"Sun Microsystems, Inc.","Santa Clara, CA",
1220,03/06/2006,Permanent closure,79,Trus Joist - A Weyerhaeuser Business,Eugene,
1217,03/06/2006,Permanent closure,2,"PDI, Inc.","Saddle River, NJ",
1208,02/21/2006,Permanent closure,55,Orius Corp.,"Villa Ridge, MO",
1207,02/21/2006,Permanent closure,,Bright Wood,Madras,
1206,02/21/2006,Permanent closure,350,Convergys - GM call center,Hillsboro,
1191,01/23/2006,Permanent closure,107,Curly's Dairy - Salem,"Roy, WA",
1177,01/20/2006,Permanent closure,150,Federated Warehouse - Milwaukie,"Secaucus, NJ",
1162,12/13/2005,Large Layoff - 10 or more workers,48,"Williams Controls, Inc.",Portland,
1154,12/07/2005,Permanent closure,67,Delta Airlines,"Atlanta, GA",
1149,12/06/2005,Permanent closure,1,Cingular Wireless,"Alpharetta, GA",
1147,12/05/2005,Permanent closure,80,Hotel Mallory,Portland,
1106,10/05/2005,Permanent closure,695,SITEL,"Omaha, NE",
1103,09/29/2005,Permanent closure,33,Michaels of Oregon Co.,"Meridian, ID",
1102,,Permanent closure,128,Neilsen Manufacturing Inc.,Salem,
1098,09/20/2005,Large Layoff - 10 or more workers,159,U.S. Cellular Corporation,"Chicago, IL",
1096,09/14/2005,Permanent closure,119,Solectron,"Milpitas, CA",
1091,09/12/2005,Large Layoff - 10 or more workers,,PacifiCorp - Multnomah County,Portland,
1075,08/01/2005,Reduction,57,WESTERN ELECTRONICS DELTA CORPORATION,"MERIDIAN, ID",
1074,08/01/2005,Reduction,101,Valley Wine Company,Beaverton,
1073,07/22/2005,Reduction,50,SENECA FOODS CORPORATION,"JANESVILLE, WI",
1064,07/05/2005,Reduction,161,"TREESOURCE INDUSTRIES, INC","TUMWATER, WA",
1057,,Reduction,,LEGACY HEALTH SYSTEM,PORTLAND,
1046,06/07/2005,Reduction,10,ROBERT BOSCH TOOL CORPORATION,"LOUISVILLE, KY",
1045,06/06/2005,Reduction,62,CON AGRA FOODS,"MODESTO, CA",
1038,05/11/2005,Reduction,3,BIOVAIL,"BRIDGEWATER, NJ",
1032,05/09/2005,Reduction,1,CINGULAR WIRELESS,"ALPHARETTE, GA",
1023,04/28/2005,Reduction,127,MATSUSHITA / AROMAT CORP,"NEW PROVIDENCE, NJ",
1022,04/15/2005,Reduction,500,MONACO COACH CORPORATION,COBURG,
1018,04/11/2005,Reduction,134,TNS Corporation - Eugene,"HORSHAM, PA",
1015,04/06/2005,Reduction,49,AMERICAN AIRLINES,"DALLAS/FT WORTH, TX",
1014,04/06/2005,Reduction,170,"ASSOCIATED ADMINISTRATORS, INC.","SPOKANE, WA",
1004,01/19/2005,Reduction,,AMALGAMATED SUGAR,,
0944,,Reduction,,WEYERHAEUSER - SWEET HOME,SWEET HOME,
0943,01/04/2005,Reduction,70,"JBH PROPERTY ACQUISITIONS, LLC",PORTLAND,
0942,,Reduction,510,THE AMALGAMATED SUGAR COMPANY LLC,"BOISE, ID",
0940,,Reduction,,HEWLETT-PACKARD,,
0934,,Reduction,,ENTEK,,
0916,,Reduction,,VALLEY INSURANCE/UNITRIN,,
0907,,Reduction,,K-B TOYS & HOBBY - MEDFORD,,
0901,,Reduction,4,DEAN'S HEATING,,
0898,,Reduction,12,WILLAMETTE NATIONAL FOREST,,
0897,,Reduction,12,OBIE MEDIA,,
0886,,Reduction,,PAC FIRST MORTGAGE,,
0872,,Reduction,976,OREGON ARENA CORPORATION,PORTLAND,
0871,,Reduction,89,UNITRIN MULTI LINES INSURANCE,"DALLAS, TX",
0870,,Reduction,,GREENWOOD INN,,
0866,,Reduction,,UMATILLA MENTAL HEALTH DEPARTMENT,,
0862,,Reduction,1,GUIDANT SALES CORPORATION,"INDIANAPOLIS, IN",
0861,,Reduction,206,STREAM,EUGENE,
0860,,Reduction,161,QWEST,"DENVER, CO",
0859,,Reduction,81,"WINCO FOODS, INC.","BOISE, ID",
0857,,Reduction,264,SYKES-MILTON FREEWATER,"TAMPA, FL",
0855,12/29/2003,Reduction,,PSC SCANNER - Eugene,,
0854,,Reduction,,Entek International,Lebanon,
0853,,Reduction,119,"EXETER HOSPITALITY ASSOCIATES, INC.",,
0852,,Reduction,273,HBOS MANUFACTURING,,
0851,,Reduction,405,HBOS MANUFACTURING,,
0850,,Reduction,202,WASHINGTON MUTUAL,LAKE OSWEG,
0849,,Reduction,104,BOYKIN MANAGEMENT COMPANY LLC,,
0848,,Reduction,187,FRED MEYER VANGUARD MARKETING SERVICES,,
0847,12/19/2003,Reduction,138,"ALEXANDER MANUFACTURING, INC.",PORTLAND,
0846,,Reduction,,PRECISION INTERCONNECT-TYCO,WILSONVILLE,
0845,,Reduction,60,WELLS FARGO HOME MORTGAGE,"DES MOINES, IA",
0841,,Reduction,62,EVANITE FIBER CORPORATION,CORVALLIS,
0840,,Reduction,151,VIKING INDUSTRIES INC.,PORTLAND,
0839,,Reduction,120,TRUS JOIST - A WEYERHAEUSER BUSINESS,JUNCTION CITY,
0838,,Reduction,62,LEBANITE,,
0837,,Reduction,,FARMERS COOP CREAMERY,,
0836,,Reduction,239,CHEVRON PRODUCTS COMPANY,"SAN RAMON, CA",
0834,,Large Layoff - 10 or more workers,151,"SYKES ENTERPRISES, INC","TAMPA, FL",
0833,,Large Layoff - 10 or more workers,68,"FERGUSON ENT, INC DBA FAMILIAN NW INC",PORTLAND,
0832,,Reduction,80,BLACKWELL BOOK SERVICE,,
0829,,Reduction,158,WEYERHAEUSER-NORTH BEND,NORTH BEND,
0828,,Reduction,,"IRWIN-HODSON METAL MFG, LLC",,
0827,,Reduction,221,FAIRFIELD RESORTS,"ORLANDO, FL",
0826,,Reduction,131,KLAMATH FIRST,KLAMATH FALLS,
0825,,Reduction,7,MORELOCK ENTERPRISES - BEND,,
0823,,Reduction,156,INFOCUS CORP.,,
0822,,Reduction,12,SIERRA PINE LTD,,
0821,,Reduction,30,"SIERRA PINE, LTD.",,
0819,07/02/2003,Permanent closure,220,ROSEBURG FOREST PRODUCTS - Roseburg,ROSEBURG,
0818,,Reduction,8,IMAGE METAL WORKS,,
0817,,Reduction,30,"PLANAR SYSTEM, INC.",,
0815,,Reduction,57,DISCOVERY PLASTICS,,
0814,06/04/2003,Reduction,4,FEDERATED GROUP,"ARLINGTON HEIGHTS, IL",
0812,,Reduction,40,PGE TROJAN,,
0811,,Reduction,120,SUMCO,SALEM,
0810,,Reduction,8,KRAFT WORLD,,
0809,,Reduction,87,MCKENZIE FOREST PRODUCTS,,
0806,,Reduction,,SULZER,,
0804,,Reduction,51,REGENCE BLUE CROSS BLUE SHIELD,PORTLAND,
0803,,Reduction,,TSA SECURITY SCREENERS,,
0801,,Reduction,218,"US FOREST INDUSTRIES, INC.",GRANTS PASS,
0800,,Reduction,110,FRIESEN LUMBER CO.,ST HELENS,
0799,04/15/2003,Reduction,25,CROWN PACIFIC- PRINEVILLE,PRINEVILLE,
0798,,Reduction,,STATE-WIDE STATE WORKERS,,
0797,,Reduction,82,BROWN & WILLIAMSON TOBACCO,"LOUISVILLE, KY",
0796,,Permanent closure,281,SONY DISC MANUFACTURING,SPRINGFIELD,
0795,,Reduction,100,SMUCKERS,WOODBURN,
0794,04/01/2003,Reduction,445,ROSEBURG FOREST PRODUCTS - Dillard,Dillard,
0792,,Reduction,,"STARWOOD HOTELS & RESORTS WORLDWIDE, INC","SEATTLE, WA",
0785,,Reduction,402,FIRST CONSUMERS NATIONAL BANK,BEAVERTON,
0784,,Reduction,86,MOLL INDUSTRIES,NEWBERG,
0783,,Reduction,69,SYMANTEC CORPORATION,BEAVERTON,
0775,,Reduction,270,OREGON STEEL MILLS,PORTLAND,
0774,,Reduction,138,METROPOLITAN PUBLIC DEFENDER SERVICES,PORTLAND,
0771,,Reduction,27,QWEST - SALEM,,
0770,,Reduction,71,RFD PUBLICATIONS LLC,WILSONVILLE,
0766,,Reduction,2,GENESIS DESIGNS,,
0765,,Reduction,,AUSTIN POWDER CO.,,
0764,01/29/2003,Reduction,161,ACTIVE USA INC,"KENOSHA, WI",
0763,,Reduction,54,QWEST - CORVALLIS,CORVALLIS,
0760,,Reduction,123,EMPORIUM STORES,EUGENE,
0759,,Reduction,100,KMART-EUGENE,"TROY, MI",
0758,,Reduction,200,KMART-JANTZEN BEACH,"TROY, MI",
0755,,Reduction,,CON MET,,
0754,,Reduction,22,GOTTSCHALKS,"FRESNO, CA",
0753,,Reduction,145,ROUGH & READY LUMBER,CAVE JUNCTION,
0752,,Reduction,55,COPPERWELD,"PITTSBURG, PA",
0751,,Reduction,62,"NEC ELUMINANT TECHNOLOGIES, INC.","CHANTILLY, VA",
0749,,Reduction,,"UNITEK ELECTRONICS, INC.",,
0747,,Reduction,,BRAND SCAFFOLD SERVICE,,
0746,,Reduction,17,EVANITE FIBER CORP,,
0745,,Reduction,44,IKON OFFICE SOLUTIONS,PORTLAND,
0744,,Reduction,5,BURELBACK INDUSTRIES,,
0743,,Reduction,210,ATLAS COPCO WAGNER INC,PORTLAND,
0742,,Reduction,25,FROZSUN FOODS,,
0741,,Reduction,1,NATIONAL REFRACTORIES & MINERALS,"LIVERMORE, CA",
0740,,Reduction,50,PACIFICARE HEALTH SYSTEMS,LAKE OSWEGO,
0739,,Reduction,119,"TREESOURCE INDUSTRIES, INC",PORTLAND,
0738,,Reduction,100,K-MART CORPORATION,"TROY, MI",
0737,,Reduction,664,"CHIQUITA PROCESSED FOODS, LLC",SALEM,
0736,,Reduction,2,GETRONICS GOVENMENT SOLUTIONS,"HERNDON, VA",
0735,01/03/2004,Reduction,50,ASHTON PHOTO,,
0733,,Reduction,95,GAGE INDUSTRIES INC,LAKE OSWEGO,
0732,09/03/2002,Reduction,315,CONSOLIDATED FREIGHTWAYS,"VANCOUVER, WA",
0731,,Reduction,62,DURAMETAL CORPORATION,TUALATIN,
0730,,Reduction,45,CHAMPION ENTERPRISES INC.,"AUBURN HILLS, MI",
0729,,Reduction,413,HUNTLEIGH USA CORPORATION,"ST. LOUIS, MO",
0728,,Reduction,62,METALS USA,"BANNOCKBURN, IL",
0727,,Reduction,207,LANCAIR,,
0726,,Reduction,89,QWEST,"DENVER, CO",
0725,,Reduction,300,PORTLAND PUBLIC SCHOOLS,,
0724,,Reduction,80,WEYERHAEUSER-WIMER LOGGING,ALBANY,
0723,,Reduction,200,WEYERHAEUSER-PORTLAND ADMIN,PORTLAND,
0722,,Reduction,50,ARTHUR ANDERSEN LLP,"CHICAGO, IL",
0720,,Reduction,98,MOLDED CONTAINER CORPORATION,PORTLAND,
0719,,Reduction,49,TRUS JOIST WEYERHAEUSER,STAYTON,
0717,,Reduction,58,WEYERHAEUSER-WOODBURN,WOODBURN,
0716,,Reduction,153,ROSEN PRODUCTS LLC,EUGENE,
0715,,Reduction,287,INTERNATIONAL BUSINESS MACHINES (IBM),BEAVERTON,
0714,,Reduction,165,SYMANTEC,SPRINGFIELD,
0712,,Reduction,66,NEW WEST FOODS,"WATSONVILLE, CA",
0711,05/13/2002,Reduction,112,"ADVANCED TELCOM GROUP, INC","SANTA ROSA, CA",
0709,,Reduction,271,SOLECTRON,"MILPITAS, CA",
0708,,Reduction,425,UNITY INC,PORTLAND,
0707,,Permanent closure,137,WILLAMETTE INDUSTRIES/WEYERHAEUSER,ALBANY,
0706,,Reduction,60,K MART,"TROY, MI",
0704,,Reduction,63,QUALITY COMPONENTS,KLAMATH FALLS,
0703,,Permanent closure,279,PACIFICARE,HILLSBORO,
0702,,Reduction,250,JANTZEN,PORTLAND,
0699,,Reduction,195,COLONIAL PACIFIC LEASING,PORTLAND,
0698,,Reduction,63,FEDEX SUPPLY CHAIN SERVICES,CORVALLIS,
0696,,Reduction,512,"FUJITSU MICROELECTRONICS, INC (FMI)",GRESHAM,
0695,,Reduction,175,INTEL CORPORATION,HILLSBORO,
0692,,Reduction,35,"CHIQUITA PROCESSED FOODS, LLC",SALEM,
