Date of Notice,Company Name,Location,Affected Workers
05/01/2020,Hertz,SLC,74
05/01/2020,LendingClub,Lehi,144
05/01/2020,Enterprise,SLC,216
05/01/2020,Core-Mark,SLC,79
04/23/2020,Hexcel Corp.,West Valley,430
04/23/2020,Utility Trailer,Clearfield,492
04/15/2020,Exeter Finance LLC,Clearfield,238
04/15/2020,Backroads Utah,SLC,84
04/15/2020,Cinemark,Statewide,666
04/15/2020,Thumbtack Inc.,Draper,129
04/15/2020,ABM Aviation,SLC,83
04/03/2020,Black Turtle Services,Sandy,195
04/03/2020,Punch Bowl Social,SLC,85
04/03/2020,Simpler Postage,Ogden,20
3/3/2020,Vivint Wireless,Lehi,113
2/13/2020,Walmart,SLC,126
2/5/2020,Solera Holdings,SLC,201
2/4/2020,UPS,SLC,142
2/4/2020,Isagenix,Lehi,140
12/30/19,Semco Windows & Doors,SLC,17
11/27/19,"Canopy Tax, Inc.",Lehi,73
08/16/19,Nestle USA,SLC,52
07/16/19,Black Diamond,SLC,67
06/11/19,ABM,SLC,98
06/03/19,BD Medical,SLC,41
03/26/19,"LSC Communications US, LLC",St. George,77
10/25/18,"Toter, LLC",SLC,70
10/22/18,NetflixCS,SLC,574
10/10/18,Tesla Energy Operations,Draper,97
10/04/18,Convergys,Taylorsville,164
09/24/18,The Results Companies,Provo,300
09/13/18,Morgan Stanley,South Jordan,90
08/06/18,Stahls' Full Gear,West Valley City,58
07/23/18,LSG Sky Chefs,SLC,188
06/26/18,Western Digital,Holladay,105
06/07/18,ABM Aviation,SLC,50
04/24/18,Convergys,Logan,211
04/20/18,Harman,South Jordan,41
04/05/18,Easton,SLC,56
02/08/18,Kencraft Confections,American Fork,77
01/26/18,ASM Research,SLC,71
01/25/18,Twinlab Consolidation Corp,American Fork,100
01/16/18,Walmart,Grantsville,37
01/05/18/,Viracon,St. George,200
12/7/17,CB&I,Clearfield,195
11/02/17,Walmart,South Jordan,65
11/01/17,CenturyLink,Midvale,58
9/6/2017,NCR,Draper,35
7/6/2017,Convergys,Taylorsville,250
5/26/2017,Kellogg's,SLC,247
4/20/2017,TD Ameritrade,Draper,69
3/30/2017,Dollar Express,SLC,38
3/21/2017,Convergys,Orem,130
3/21/2017,Convergys,Ogden,209
3/1/2017,Ogio,Draper,33
2/20/2017,Convergys,Cedar City,77
1/4/2017,Macy's,SLC,96
12/08/16,Survey Sampling Int,Layton,106
11/30/16,Amico,Orem,30
09/19/16,Convergys,South Ogden,230
08/15/16,Convergys,Orem,85
07/27/16,Convergys,Taylorsville,220
07/18/16,Nellson LLC,SLC,193
06/30/16,UtahAmerican Energy Inc.,East Carbon,165
06/27/16,Convergys,Orem,156
06/22/16,Meadow Gold Dairies,Orem,68
06/15/16,Herff Jones,Logan,180
05/18/16,Allstate Insurance,Draper,87
05/10/16,Disney Interactive,SLC,240
05/04/16,Prosper Healthcare Lending,Draper,96
03/24/16,SunEdison,Orem,43
03/24/16,Halliburton Energy Services,Vernal,50
02/04/16,Quality Bicycle Products,Ogden,34
01/19/16,CoreLogic,Sandy,67
12/01/15,Glasses.com,Draper,161
11/30/15,Tyson Foods,Clearfield,106
11/04/15,Fidelity Exploration & Production,Moab,20
09/28/15,Barrick Gold of North America,Salt Lake City,63
09/04/15,Miller Performance,Tooele,80
08/24/15,Icon Health & Fitness,Logan,400
08/05/15,Kellogg Plant,Clearfield,140
06/30/15,American Express (Amended),Salt Lake City,40
06/03/15,American Express,Salt Lake City,35
05/20/15,Energy West Mining Company,Huntington,10
04/30/15,Fairchild Semiconductor,Salt Lake City,361
04/28/15,Atwood Mobile Products,Salt Lake City,75
04/21/15,Cottonwood Treatment Center,South Salt Lake City,178
04/02/15,Energy West Mining Company,Huntington,41
03/02/15,Energy West Mining Company,Huntington,95
01/23/15,CallAssistant,Logan,98
01/23/15,Strategic Fundraising Inc.,Logan,50
01/07/15,Shopko,Provo,62
01/07/15,Shopko,West Bountiful,79
11/11/14,Survey Sampling International,Orem,115
10/31/14,RBS Securities Inc.,Taylorsville,30
09/12/14,Devcon Security Services Corp & ADT LLC,Lindon,60
09/02/14,"Wells Enterprises, Inc.",St. George,90
08/28/14,Community Development Institute â Head Start,"Honeyville, Genola, Providence, & Midvale",167
07/28/14,Xerox Business Services,Salt Lake City,279
04/14/14,Remington,West Jordan,31
04/04/14,Aramark at Hertz SLC,Salt Lake City,83
03/25/14,SuperValu Inc.,Salt Lake City,66
03/18/14,CenturyLink,Logan,97
03/05/14 Updated,General Dynamics IT,Sandy,645 Revised
02/27/14,General Dynamics IT,Sandy,621
02/13/14,Xerox Business Services,Sandy,175
01/22/14,CenturyLink,Salt Lake City,120
01/30/14,Electronic Arts Inc.,Salt Lake City,67
12/20/13,GrubHub Seamless Inc.,Sandy,156
12/16/13,First National Bank of Layton Mortgage Division,Draper & St. George,37
12/02/13,URS (EG&G Defense Materials),Stockton,34
08/29/13,Bank of America,South Jordan,65
07/20/13,Convergys,Orem,75
07/01/13,URS (EG&G Defense Materials),Stockton,194
06/03/2013,URS (EG&G Defense Materials),Stockton,193
04/22/13,Convergys,Ogden,175
03/11/2013,URS (EG&G Defense Materials),Stockton,19
02/25/2013,URS (EG&G Defense Materials),Stockton,71
02/12/2013,"Viracon, Inc.",St. George,222
09/26/12,TD Ameritrade Holding Corp,Draper,75
07/27/12,URS Corp - EG&G Defense Materials,Tooele,779
06/29/12,Cerro Flow Products,Cedar City,69
06/21/12,SnugZ USA âNorthstar Mfg.,Salt Lake City  (Relocating to Eagle Mtn. Utah),350
05/24/12,"Darigold, Inc",Salt Lake City,86
05/09/12,Hostess navbar-headers,Statewide,580
02/15/12,Northrop Grumman,Lehi,84
01/27/12,HMS Host,Salt Lake City,195
12/12/11,Nordstrom,Orem,185
11/04/11,Canyon Fuel Company,Carbon County,114
10/17/11,HMS Host,SLC,118
10/06/11,EG&G Subsidiary of URS,Stockton,96
09/20/11,PACE American,Hurricane,35
08/10/11,Honeywell (FRAM Group),Clearfield,77
07/12/11,"Penco Products, Inc.",West Jordan,70
07/11/11,Wells Fargo & Co.,Salt Lake City,51
07/05/11,Air Terminal Gifts,Salt Lake City,15
03/25/11,Passages to Recovery,Loa,25
03/25/11,Aspen Ranch,Loa,113
03/25/11,Aspen Achievement Academy,Loa,55
03/25/11,Youth Care of Utah,Draper,122
03/25/11,SunHawk Academy of Utah,St. George,75
02/23/11,Air Terminal Gifts,Salt Lake City,149
01/11/11,Kmart Corporation,Kearns,72
11/30/10,ZipLocal,Orem,85
11/29/10,ZipRealty,Cottonwoods Heights,74
11/15/10,Comcast,Sandy,321
10/25/10,Principal Financial Group,Salt Lake City,82
10/01/10,Consol Energy (Consolidation Coal Company; Emery Mine),Emery,171
09/31/10,Deseret News Publishing Co.,Salt Lake City,85
08/30/10,FIS Management Services,Salt Lake City,31
07/19/10,American Distribution Centers,Salt Lake City,39
06/18/10,Flying J Inc.,Ogden,141
05/03/10,Fidelity National Information Services (FIS),West Valley City,102
04/29/10,"UPS Freight, Inc.",North Salt Lake,50
02/17/10,Mosaic,"Nephi, Provo/Orem",94
02/17/10,Provo Craft & Novelty Inc.,Spanish Fork,109
01/27/10,CompuCredit,Salt Lake City,162
01/25/10,Dollar Tree,Salt Lake City,98
11/10/09,Enterprise Rent-A-Car,Salt Lake City,71
09/22/09,Moog Aircraft,West Valley City,201
08/31/09,Convergys,Taylorsville,300
08/13/09,Teleperformance USA,Clearfield,151
07/21/09,TW & Company,Clearfield (HAFB),100
07/13/09,Advanta Corporation,Draper,31
06/30/09,RR Donnelley,Spanish Fork,120
06/30/09,"Holland & Hart, RxAmerica",Salt Lake City,200
06/16/09,Beneficial Life Insurance,Salt Lake City,150
06/14/09,First Transit,Logan,100
05/28/09,Schlumberger,Vernal,22
05/28/09,Weather Shield Premium Windows & Doors,Logan,95
05/06/09,Teleperformance USA,Clearfield,189
05/2009,Spring Air,Salt Lake City,53
03/26/09,Schlumberger,Vernal,28
03/06/09,"Holland & Hart, RxAmerica",Salt Lake City,43
03/02/09,Western Quality Foods,Cedar City,95
02/02/09,Move Networks,American Fork,57
01/16/09,Rio Tinto,Salt Lake City,66
01/07//09,Lozier Corporation,Cedar City,82
