Company,Location,Layoff Start Date,# of Workers,Closure Layoff,Type of Layoff,Received Date
TriWest Healthcare Alliance Corporation,Pierce County,2/15/2013,127,Closure,Permanent,12/18/2012
TriWest Healthcare Alliance Corporation,Yakima,2/15/2013,1,Closure,Permanent,12/18/2012
TriWest Healthcare Alliance Corporation,Seattle,2/15/2013,1,Closure,Permanent,12/18/2012
TriWest Healthcare Alliance Corporation,Port Angeles,2/15/2013,2,Closure,Permanent,12/18/2012
TriWest Healthcare Alliance Corporation,Bremerton,2/15/2013,5,Closure,Permanent,12/18/2012
TriWest Healthcare Alliance Corporation,Everett,2/15/2013,2,Closure,Permanent,12/14/2012
TriWest Healthcare Alliance Corporation,Oak Harbor,2/15/2013,4,Closure,Permanent,12/14/2012
TriWest Healthcare Alliance Corporation,Fairchild AFB,2/15/2013,3,Closure,Permanent,12/14/2012
BAE Systems,Keyport,12/27/2012,57,Closure,Permanent,10/31/2012
"Semiahmoo Resort Company, LLC",Blaine,12/31/2012,224,Closure,Permanent,10/30/2012
"Clopay Building Products Company, Inc.",Auburn,1/25/2013,55,Closure,Permanent,10/25/2012
Draper Valley Holdings LLC,Renton,12/7/2012,66,Closure,Permanent,10/8/2012
URS Federal Services,Oak Harbor,10/31/2012,236,Layoff,Permanent,9/25/2012
Dendreon Corporation,Seattle,11/20/2012,145,Layoff,Permanent,9/20/2012
American Airlines,Seattle,11/16/2012,66,Layoff,Permanent,9/18/2012
Berry Plastics Corporation,Kent,8/24/2012,59,Layoff,Permanent,9/10/2012
AREVA Federal Services LLC,Richland,8/15/2012,5,Layoff,Permanent,8/21/2012
Harland Clarke Holdings Corp.,Milton,10/9/2012,35,Closure,Permanent,8/6/2012
Auburn Regional Medical Center,Auburn,9/28/2012,827,Layoff,Permanent,8/1/2012
Universal Lumpers,Auburn,9/24/2012,97,Closure,Permanent,7/19/2012
"Thales Avionics, Inc.",Seattle,9/14/2012,42,Closure,Permanent,7/16/2012
Seattle Hilton Hotel,Seattle,9/3/2012,141,Closure,Permanent,7/5/2012
National Food Corporation,Everett,8/24/2012,75,Layoff,Permanent,6/22/2012
Parsons,Pasco,8/19/2012,103,Closure,Permanent,6/20/2012
Sterling Bank (First Independent Bank),Vancouver,8/3/2012,63,Layoff,Permanent,6/4/2012
Delta Air Lines Reservation Call Center,SeaTac,9/1/2012,189,Closure,Permanent,5/22/2012
"Amonix, Inc.",Langley,6/30/2012,1,Layoff,Permanent,5/7/2012
Hostess Brands,Bellingham,7/3/2012,6,Closure,Permanent,5/7/2012
Hostess Brands,Everett,7/3/2012,15,Closure,Permanent,5/7/2012
Hostess Brands,Seattle,7/3/2012,111,Closure,Permanent,5/7/2012
Hostess Brands,Kent,7/3/2012,17,Closure,Permanent,5/7/2012
Hostess Brands,Bremerton,7/3/2012,6,Closure,Permanent,5/7/2012
Hostess Brands,Lakewood,7/3/2012,53,Closure,Permanent,5/7/2012
Hostess Brands,Tacoma,7/3/2012,3,Closure,Permanent,5/7/2012
Hostess Brands,Tumwater,7/3/2012,8,Closure,Permanent,5/7/2012
Hostess Brands,Longview,7/3/2012,6,Closure,Permanent,5/7/2012
Hostess Brands,Moses Lake,7/3/2012,2,Closure,Permanent,5/7/2012
Hostess Brands,Yakima,7/3/2012,9,Closure,Permanent,5/7/2012
Hostess Brands,Spokane,7/3/2012,14,Closure,Permanent,5/7/2012
Verizon Wireless,Bellevue,6/30/2012,814,Closure,Permanent,5/2/2012
Davis Wire Corporation,Kent,6/19/2012,57,Layoff,Permanent,4/27/2012
BAE Systems,Keyport,6/30/2012,61,Layoff,Permanent,4/27/2012
Cardiac Science Corporate,Bothell,6/5/2012,60,Closure,Permanent,4/10/2012
Harland Clarke Holdings Corp.,Milton,6/2/2012,74,Layoff,Permanent,4/10/2012
"Zipper Interactive, Inc.",Redmond,6/1/2012,86,Closure,Permanent,4/2/2012
Boeing,Puget Sound,5/28/2012,39,Layoff,Permanent,3/26/2012
Swedish Visiting Nurse Services,"Seattle, Mountlake Terrace",4/27/2012,216,Closure,Permanent,2/28/2012
CenturyLink,Gig Harbor,4/27/2012,52,Layoff,Permanent,2/23/2012
Heinz North America,Kent,4/13/2012,79,Closure,Permanent,2/10/2012
"Sykes Enterprises, Incorporated",Spokane Valley,3/12/2012,167,Layoff,Permanent,1/10/2012
Snokist Growers,Yakima,2/5/2012,607,Closure,Permanent,12/9/2011
"Emerald Shared Services DBA K&L Distributors, Inc.",Renton,1/20/2012,215,Closure,Permanent,11/21/2011
Washington State Employment Security Department,Statewide,1/16/2012,222,Layoff,Permanent,10/21/2011
"Lowe's HIW, Inc.",Tacoma,12/16/2011,92,Closure,Permanent,10/20/2011
Kimberly-Clark Corporation,Everett,1/1/2012,760,Closure,Permanent,10/19/2011
"BlueScope Buildings North America, Inc.",Arlington,12/12/2011,67,Closure,Permanent,10/13/2011
Kerry Ingredients & Flavours,Kent,12/16/2011,58,Closure,Permanent,10/13/2011
Hampton Lumber Mills,Darrington,12/12/2011,76,Layoff,Permanent,10/12/2011
Stimson Lumber,Colville,11/11/2011,67,Closure,Permanent,9/15/2011
TeleTech,Bremerton,10/30/2011,240,Closure,Permanent,8/31/2011
"Woodinville Lumber, Inc.",Woodinville,8/26/2011,76,Closure,Permanent,8/23/2011
"Woodinville Construction Services, L.L.C.",Woodinville,8/26/2011,38,Closure,Permanent,8/23/2011
Tri-County Truss,Burlington,8/26/2011,94,Closure,Permanent,8/23/2011
Kmart,Spokane,11/6/2011,68,Closure,Permanent,8/17/2011
Hampton Affiliates,Randle,10/31/2011,80,Layoff,Temporary,8/9/2011
Lockheed Martin Corporation,5 Puget Sound military locations,9/30/2011,41,Layoff,Permanent,8/1/2011
CH2MHill Plateau Remediation Company,Richland,9/29/2011,750,Layoff,Permanent,7/29/2011
Materials & Energy Corporation,Richland,9/29/2011,141,Layoff,Permanent,7/29/2011
Wells Fargo Home Mortgage Servicing,Bellevue,8/21/2011,113,Closure,Permanent,6/22/2011
Monterey Gormet Foods,Kent,8/17/2011,75,Closure,Permanent,6/20/2011
Penguin Windows,"Lynnwood, Vancouver",6/10/2011,121,Closure,Permanent,6/15/2011
Petermann Northwest LLC,Seattle,6/22/2011,109,Closure,Permanent,5/27/2011
"Grays Harbor Paper, LLC",Hoquiam,5/25/2011,231,Closure,Permanent,5/27/2011
"Insight Schools, Inc.",Bellevue,7/18/2011,168,Closure,Permanent,5/26/2011
BAE Systems,Keyport,6/30/2011,90,Closure,Permanent,5/10/2011
Cardiac Science Corporate,Bothell,7/1/2011,54,Layoff,Permanent,4/29/2011
Pinnacle Foods Group,Tacoma,6/23/2011,139,Closure,Permanent,4/26/2011
"Radia, Inc. P. S.",Everett,6/30/2011,51,Layoff,Permanent,4/14/2011
Whirlpool Corporation,Yakima,6/13/2011,140,Closure,Permanent,4/12/2011
"Union Bank, N.A.",Everett,3/31/2011,72,Layoff,Permanent,3/11/2011
CompuCom Application Services,Bellevue,2/8/2011,60,Layoff,Permanent,2/15/2011
Harland Clarke Holdings Corp.,Milton,4/9/2011,53,Closure,Permanent,2/9/2011
Penguin Windows,"Lynwood, Mukilteo, Lakewood",2/1/2011,210,Closure,Permanent,2/1/2011
DAL Global Services,Seattle,2/23/2011,168,Layoff,Permanent,1/31/2011
"Pilchuck Contractors, Inc.",Puget Sound,3/28/2011,300,Layoff,Permanent,1/28/2011
"Semiahmoo Resort Company, LLC",Blaine,2/15/2011,321,Closure,Permanent,12/20/2010
"ZipRealty, Inc.",Kirkland,1/31/2011,129,Layoff,Permanent,12/6/2010
International Paper,Bellevue,1/14/2011,78,Closure,Permanent,11/15/2010
Exel,Auburn,1/29/2011,146,Closure,Permanent,11/2/2010
"Icicle Seafoods, Inc.",Seattle,12/20/2010,83,Closure,Permanent,10/21/2010
CDM Long-Term Care Services,Vancouver,11/1/2010,100,Layoff,Permanent,10/19/2010
AHP (Associated Hygienic Products LLC),Vancouver,11/27/2010,101,Closure,Permanent,9/30/2010
Xanodyne,Western Washington,11/21/2010,3,Layoff,Permanent,9/21/2010
"The Men's Wearhouse, Inc.",Fife,11/12/2010,42,Closure,Permanent,9/13/2010
Cruise West,Seattle,9/8/2010,65,Closure,Permanent,9/9/2010
Skookum Fleet Management,Fort Lewis,10/18/2010,50,Layoff,Temporary,8/20/2010
"Icicle Seafoods, Inc.",Bellingham,10/18/2010,71,Closure,Permanent,8/2/2010
Skookum Fleet Management,Fort Lewis,7/12/2010,176,Layoff,Permanent,7/16/2010
Commercial Vehicle Group,Vancouver,9/1/2010,12,Closure,Permanent,7/16/2010
Mason County Forest Products,Shelton,7/31/2010,130,Layoff,Permanent,6/2/2010
Columbia Valley Community Health,Wenatchee,7/1/2010,53,Layoff,Permanent,6/2/2010
AlliedBarton Security Services LLC,"Seattle, Bellevue",6/17/2010,128,Layoff,Permanent,5/27/2010
Boeing,Puget Sound,7/23/2010,17,Layoff,Permanent,5/21/2010
Boeing,Puget Sound,6/18/2010,125,Layoff,Permanent,4/19/2010
"ConAgra Foods, Inc.",Prosser,5/30/2010,218,Closure,Permanent,3/30/2010
Boeing,Puget Sound,5/21/2010,65,Layoff,Permanent,3/19/2010
"AB Car Rental Services, Inc.",Tukwila,5/19/2010,206,Layoff,Permanent,3/17/2010
"Olympic Security Services, Inc.",Tukwila,4/16/2010,54,Layoff,Permanent,3/11/2010
Zumiez Inc.,Everett,4/23/2010,172,Closure,Permanent,2/22/2010
Boeing,Puget Sound,4/23/2010,527,Layoff,Permanent,2/19/2010
Kmart,Bremerton,5/17/2010,55,Closure,Permanent,2/5/2010
BCI Coca Cola Bottling Company,Woodland,4/1/2010,56,Closure,Permanent,1/29/2010
Boeing,Puget Sound,3/26/2010,9,Layoff,Permanent,1/22/2010
Auto Warehousing Co.,Tacoma,3/22/2010,55,Layoff,Permanent,1/20/2010
Boeing,Puget Sound,3/19/2010,20,Layoff,Permanent,1/15/2010
International Paper,Auburn,3/6/2010,2,Closure,Permanent,1/14/2010
Bank of America,Bellevue,3/12/2010,50,Closure,Permanent,1/14/2010
CPC International Apple Company,Tieton,2/22/2010,75,Layoff,Permanent,12/31/2009
Boeing,Puget Sound,2/19/2010,56,Layoff,Permanent,12/18/2009
Walter Meier Inc.,Auburn,2/15/2010,5,Closure,Permanent,12/18/2009
Boeing,Puget Sound,1/22/2010,49,Layoff,Permanent,11/20/2009
Kmart,Vancouver,1/18/2010,68,Closure,Permanent,11/18/2009
"Sun Microsystems, Inc",Bellevue,1/3/2010,3,Layoff,Permanent,11/4/2009
BD Diagnostics,Redmond,12/23/2009,15,Closure,Permanent,11/3/2009
Boeing,Puget Sound,1/1/2010,48,Layoff,Permanent,10/30/2009
"Expedia, Inc.",Tacoma,10/21/2009,171,Closure,Permanent,10/22/2009
Boeing,Puget Sound,12/11/2009,53,Layoff,Permanent,10/9/2009
Wells Fargo Mortgage,Kirkland,12/7/2009,60,Closure,Permanent,10/8/2009
Brandrud,Auburn,12/4/2009,104,Closure,Permanent,10/5/2009
Boeing,Puget Sound,11/20/2009,126,Layoff,Permanent,9/18/2009
"SumTotal Systems, Inc.",Bellevue,9/15/2009,59,Layoff,Permanent,9/15/2009
Adaptis Inc.,Seattle,11/2/2009,138,Closure,Permanent,9/14/2009
Microsoft,Redmond,11/1/2009,27,Layoff,Permanent,9/3/2009
"CROSSMARK Home Improvements, LCC",Statewide,10/31/2009,77,Layoff,Permanent,8/31/2009
"Northwest Territorial Mint, LCC",Auburn,10/24/2009,109,Closure,Permanent,8/28/2009
Philips Electronics,Snoqualmie,10/30/2009,75,Closure,Permanent,8/28/2009
Boeing,Puget Sound,10/23/2009,279,Layoff,Permanent,8/21/2009
"Crossroads Services, Inc.",Statewide,10/18/2009,45,Layoff,Permanent,8/14/2009
Boeing,Puget Sound,10/2/2009,45,Layoff,Permanent,7/31/2009
"Stemilt Growers, Inc.",Orondo,9/24/2009,94,Closure,Permanent,7/27/2009
"Stemilt Growers, Inc.",Orondo,9/17/2009,67,Closure,Permanent,7/20/2009
Boeing,Puget Sound,9/18/2009,104,Layoff,Permanent,7/17/2009
Electric Boat,Silverdale,9/25/2009,8,Layoff,Permanent,7/17/2009
Johnson Outdoors Watercraft Inc.,Ferndale,9/4/2009,90,Closure,Permanent,7/1/2009
"Sun Microsystems, Inc",Bellevue,8/24/2009,2,Layoff,Permanent,6/26/2009
Boeing,Puget Sound,8/21/2009,157,Layoff,Permanent,6/19/2009
Saint-Gobain Crystals,Washougal,8/10/2009,58,Closure,Permanent,6/12/2009
"Merck & Co., Inc.",Seattle,7/31/2009,40,Closure,Permanent,6/8/2009
KeyCorp,Tacoma,8/3/2009,240,Closure,Permanent,6/4/2009
Shaw Industries,Algona,7/31/2009,62,Closure,Permanent,6/1/2009
Ruan Transportation,Seattle,7/31/2009,81,Closure,Permanent,5/28/2009
Weyerhaeuser Forest Operation,Cosmopolis,7/21/2009,53,Layoff,Permanent,5/22/2009
Boeing,Puget Sound,7/24/2009,117,Layoff,Permanent,5/22/2009
Johnson Controls Inc,Bellevue,7/31/2009,45,Closure,Permanent,5/18/2009
CDG Management,Olympia,5/29/2009,41,Closure,Permanent,5/15/2009
Amgen,Bothell,7/13/2009,101,Layoff,Permanent,5/14/2009
Microsoft,Redmond,7/4/2009,1200,Layoff,Permanent,5/5/2009
Spring Air,Lacey,5/1/2009,45,Layoff,Permanent,5/4/2009
Coast Engine & Equipment,Tacoma,7/3/2009,111,Closure,Permanent,5/4/2009
ZymoGenetics,Seattle,6/30/2009,170,Layoff,Permanent,4/30/2009
Boeing,Puget Sound,6/19/2009,119,Layoff,Permanent,4/21/2009
Liberty Mutual Insurance,Bothell,6/16/2009,100,Layoff,Permanent,4/17/2009
Hampton Affiliates,Morton,6/6/2009,124,Layoff,Permanent,4/8/2009
Hampton Affiliates,Darrington,6/6/2009,118,Layoff,Permanent,4/8/2009
JP Morgan Chase,Tukwila,6/15/2009,45,Closure,Permanent,4/7/2009
Guy Bennett Lumber,Clarkston,6/5/2009,74,Closure,Temporary,4/3/2009
Microsoft,Seattle,6/30/2009,2,Layoff,Permanent,4/1/2009
"Sun Microsystems, Inc",Bellevue,5/30/2009,24,Layoff,Permanent,3/31/2009
Exide Technologies,Sumner,3/31/2009,43,Closure,Permanent,3/31/2009
Commercial Vehicle Group,Vancouver,4/30/2009,70,Closure,Permanent,3/20/2009
Boeing,Puget Sound,5/22/2009,710,Layoff,Permanent,3/20/2009
Weyerhaeuser Sawmill,Toutle,5/1/2009,1,Closure,Permanent,3/5/2009
Weyerhaeuser Lumbermill,Raymond,3/9/2009,50,Layoff,Permanent,3/4/2009
General Dynamics,Spokane Valley,4/24/2009,353,Closure,Permanent,2/25/2009
Boeing,Puget Sound,4/24/2009,781,Layoff,Permanent,2/25/2009
Best Buy,Kent,4/14/2009,82,Closure,Permanent,2/12/2009
Results Bellingham,Bellingham,4/12/2009,150,Closure,Permanent,2/12/2009
TTM Technologies,Redmond,3/16/2009,369,Closure,Permanent,2/5/2009
Boeing,Puget Sound,3/20/2009,668,Layoff,Permanent,2/5/2009
SolarWorld Industries,Vancouver,3/13/2009,63,Layoff,Permanent,1/30/2009
Allied Waste,Seattle,3/31/2009,203,Layoff,Permanent,1/28/2009
Weyerhaeuser Sawmill,Aberdeen,1/26/2009,128,Closure,Permanent,1/27/2009
Pacific Veneer Weyerhaeuser,Aberdeen,1/26/2009,93,Closure,Permanent,1/27/2009
"Sun Microsystems, Inc",Bellevue,3/23/2009,4,Layoff,Permanent,1/23/2009
Microsoft,Redmond,3/23/2009,872,Layoff,Permanent,1/23/2009
Seattle Post-Intelligencer,Seattle,3/18/2009,181,Closure,Permanent,1/21/2009
Qwest,Seattle,4/15/2009,235,Closure,Permanent,1/21/2009
Philips Electronics,Auburn,3/20/2009,96,Closure,Permanent,1/20/2009
Teck,Metaline Falls,2/16/2009,165,Layoff,Permanent,1/6/2009
Agilent Technologies,Liberty Lake,1/30/2009,120,Layoff,Permanent,12/30/2008
ABX Air,Chehalis,2/13/2009,4,Closure,Permanent,12/26/2008
North Sky Communications,Woodinville,12/11/2008,57,Layoff,Permanent,12/23/2008
Hunter Douglas,Renton,2/2/2009,166,Layoff,Permanent,12/3/2008
CDG Management,Tacoma,12/21/2008,34,Closure,Permanent,11/24/2008
CDG Management,Olympia,12/21/2008,18,Closure,Permanent,11/24/2008
DHL Express,Seattle,1/18/2009,68,Layoff,Permanent,11/19/2008
American Airlines,Seattle,1/16/2009,1,Layoff,Permanent,11/19/2008
DHL Express,"Kent, Bothell, Bellevue, Fife",1/18/2009,187,Closure,Permanent,11/19/2008
ABX Air,Chehalis,1/13/2009,52,Closure,Permanent,11/14/2008
Kenworth Trucking,Renton,1/16/2009,430,Layoff,Permanent,11/14/2008
Washington Mutual,Seattle,1/31/2009,3400,Layoff,Permanent,11/12/2008
BAE Systems,Bremerton,12/19/2008,31,Closure,Permanent,11/7/2008
"Sun Microsystems, Inc",Bellevue,1/5/2009,9,Layoff,Permanent,11/6/2008
Seattle Times,Seattle,12/12/2008,145,Layoff,Permanent,11/5/2008
Solid Ground,Seattle,12/31/2008,114,Layoff,Permanent,10/31/2008
"IntelliTax Software Solutions, Inc.",Bellevue,10/24/2008,150,Closure,Permanent,10/27/2008
Morning Sun,Tacoma,12/22/2008,162,Closure,Permanent,10/23/2008
Meridian Yacht/US Marine,Arlington,10/16/2008,276,Closure,Permanent,10/16/2008
Milgard Windows,Marysville,10/24/2008,80,Closure,Permanent,10/14/2008
Meridian Yacht/US Marine,Arlington,10/10/2008,445,Closure,Permanent,10/10/2008
Stimson Lumber,Colville,12/8/2008,109,Closure,Permanent,10/8/2008
Heller Ehrman,Seattle,11/28/2008,139,Closure,Permanent,9/29/2008
"Johnson Controls, Inc.",DuPont,12/7/2008,13,Closure,Permanent,9/18/2008
Vivendi Games,Issaquah,11/7/2008,1,Layoff,Permanent,9/8/2008
Rosario Resort,Eastsound (Orcas Island),10/20/2008,195,Closure,Permanent,8/21/2008
Cenveo Corporation,Tukwila,10/3/2008,15,Closure,Permanent,8/15/2008
Alaska Distributors,"Kent, Everett, Spokane",10/3/2008,600,Closure,Permanent,8/13/2008
GMAC ResCap,Bellevue,10/31/2008,60,Closure,Permanent,8/12/2008
Seattle Times,North Creek & Fairview,8/27/2008,75,Layoff,Permanent,8/12/2008
Syntax Brillian,White Salmon,9/2/2008,1,Layoff,Permanent,8/11/2008
Columbia Lighting,Spokane,9/26/2008,211,Closure,Permanent,8/7/2008
Titus Tool Company,Kent,11/30/2008,50,Layoff,Permanent,8/6/2008
Seattle Sonics,Seattle,9/30/2008,117,Closure,Permanent,8/6/2008
Starwood Resorts & Hotels,Seattle,9/1/2008,87,Layoff,Permanent,7/29/2008
Vivendi Games,Issaquah,9/13/2008,53,Layoff,Permanent,7/28/2008
Indymac Bank,Bellevue,9/5/2008,51,Layoff,Permanent,7/21/2008
All-Woods Components,Union Gap,7/23/2008,29,Layoff,Permanent,7/17/2008
Mt. Hood Beverage,Yakima & Kennewick,1/1/2009,110,Layoff,Permanent,7/17/2008
Columbia Distributing,4 sites,9/15/2008,933,Layoff,Permanent,7/15/2008
"Sun Microsystems, Inc",Bellevue,9/8/2008,9,Layoff,Permanent,7/10/2008
Intermec Technologies,Everett,10/3/2008,184,Layoff,Permanent,7/10/2008
American Airlines,Seattle,9/5/2008,22,Layoff,Permanent,7/7/2008
"Sun Microsystems, Inc",Bellevue,7/21/2008,2,Layoff,Permanent,5/22/2008
Ball Corporation,Kent,8/31/2008,112,Closure,Permanent,5/19/2008
Washington Mutual,Bellevue,8/31/2008,84,Closure,Temporary,5/1/2008
Educational Opportunities for Children and Family,Vancouver,6/30/2008,19,Closure,Permanent,4/25/2008
Simpson Timber,Tacoma/Shelton,4/28/2008,111,Layoff,Permanent,4/15/2008
Wilcox Farms,Cheney,4/30/2008,47,Closure,Permanent,4/3/2008
Weyerhaeuser Company,Toutle,5/1/2008,81,Closure,Permanent,3/10/2008
Nastech Pharmaceutical,Bothell,2/29/2008,70,Layoff,Permanent,3/5/2008
Pactiv Corporation,Yakima,5/9/2008,51,Closure,Permanent,3/3/2008
Macy's,Seattle,5/2/2008,697,Layoff,Permanent,3/3/2008
