Company,Location,Layoff Start Date,# of Workers,Closure Layoff,Type of Layoff,Received Date
"K Ply, Inc.",Port Angeles,11/2/2007,132,Closure,Temporary,2/29/2008
Group Health,Redmond,4/30/2008,363,Closure,Permanent,2/25/2008
Anesthesiologists Associated,Spokane Valley,2/20/2008,63,Closure,Permanent,2/20/2008
J.R. Simplot,Pasco,4/18/2008,335,Closure,Permanent,2/15/2008
Pristina Pine,Spokane Valley,2/6/2008,98,Closure,Permanent,2/13/2008
ICOS Corporation,Bothell,3/29/2008,1,Layoff,Permanent,2/6/2008
Seattle Times - North Creek,Bothell,3/31/2008,7,Layoff,Permanent,2/4/2008
Wilcox Farms,Roy,3/31/2008,130,Closure,Permanent,2/4/2008
Sun Microsystems Inc,Bellevue,3/31/2008,1,Layoff,Permanent,1/31/2008
Panasonic,Vancouver,3/29/2008,89,Closure,Permanent,1/29/2008
DIGIO,KIRKLAND,3/18/2008,69,Layoff,Permanent,1/24/2008
Seattle Times - North Creek,Bothell,2/29/2008,71,Layoff,Permanent,1/16/2008
Holy Family Hospital,Deer Park,3/15/2008,79,Closure,Permanent,1/11/2008
"Portac, Inc.",Tacoma,2/25/2008,71,Closure,Permanent,12/26/2007
ICOS Corporation,Bothell,2/29/2008,6,Layoff,Permanent,12/24/2007
Washington Mutual,Bellevue,2/15/2008,105,Layoff,Permanent,12/17/2007
Xantrex Technology,Arlington,3/1/2008,55,Closure,Permanent,12/14/2007
BAE Systems,Keyport,2/19/2008,55,Closure,Permanent,12/13/2007
FloorServe,"Seattle, Tacoma and Vancouver",1/31/2008,3,Closure,Permanent,12/5/2007
DAL Global Services,SeaTac,12/12/2007,132,Layoff,Permanent,11/19/2007
Benchmark Electronics,Redmond,1/15/2008,150,Closure,Permanent,11/15/2007
Levitz Furniture,Tukwila,1/9/2008,60,Closure,Permanent,11/9/2007
Tree Top,Cashmere,1/4/2008,73,Layoff,Temporary,11/5/2007
ICOS Corporation,Bothell,12/29/2007,13,Layoff,Permanent,10/31/2007
Georgia Pacific Corporation,Bellingham,12/8/2007,210,Closure,Permanent,10/8/2007
"Sun Microsystems, Inc",Bellevue,11/26/2007,9,Layoff,Permanent,9/27/2007
VAE Nortrack North America Inc.,Seattle,12/1/2007,58,Layoff,Permanent,9/26/2007
American Port Services,Sumner,12/31/2007,217,Closure,Permanent,9/13/2007
Fleetwood Housing,Woodland,9/12/2007,135,Closure,Permanent,9/12/2007
Welco Lumber,Marysville,10/26/2007,57,Closure,Permanent,8/30/2007
ICOS Corporation,Bothell,10/29/2007,12,Layoff,Permanent,8/28/2007
"Liquidation World USA, Inc.",Nine Locations - WA,10/31/2007,0,Closure,Permanent,8/28/2007
"GreenPoint Mortgage Funding, Inc.",Bellevue,8/23/2007,41,Closure,Permanent,8/24/2007
Heritage Health & Rehab. Center,Vancouver,10/22/2007,50,Closure,Permanent,8/23/2007
Cenveo Corporation,Tukwila,10/19/2007,68,Closure,Permanent,8/21/2007
ICOS Corporation,Bothell,10/15/2007,1,Layoff,Permanent,8/17/2007
Associated Grocers. Inc.,Seattle-Renton,10/1/2007,684,Closure,Permanent,8/6/2007
ICOS Corporation,Bothell,9/29/2007,1,Layoff,Permanent,7/31/2007
Swedish Sleep Medicine Institute,Seattle,9/16/2007,67,Closure,Permanent,7/18/2007
Electronic Data Systems,Federal Way,8/24/2007,147,Layoff,Permanent,7/12/2007
Aleut Global Solutions,Tacoma,7/30/2007,7,Closure,Permanent,7/2/2007
ARAMARK Healthcare,Spokane,8/28/2007,245,Closure,Permanent,6/29/2007
SK Food Group,Seattle,8/1/2007,90,Closure,Permanent,6/7/2007
"Commercial Vehicle Group, Inc.",Seattle-Tacoma,7/30/2007,115,Closure,Permanent,6/6/2007
ICOS Corporation,Bothell,8/1/2007,1,Layoff,Permanent,6/4/2007
ICOS Corporation,Bothell,8/29/2007,5,Layoff,Permanent,5/14/2007
New Century Financial Corporation,Bellevue,5/4/2007,41,Closure,Permanent,5/10/2007
ICOS Corporation,Bothell,7/8/2007,2,Layoff,Permanent,5/9/2007
Millenium Funding Group,Vancouver,4/26/2007,72,Layoff,Temporary,5/1/2007
"King County Publications, Ltd.",Kent,6/29/2007,109,Closure,Permanent,4/30/2007
ICOS Corporation,Bothell,6/29/2007,1,Layoff,Permanent,4/30/2007
Bethlehem Construction,Cashmere,5/24/2007,76,Closure,Permanent,4/25/2007
ICOS Corporation,Redmond,6/22/2007,1,Layoff,Permanent,4/17/2007
ICOS Corporation,Bothell,6/17/2007,1,Layoff,Permanent,4/17/2007
Alltel,Issaquah,6/16/2007,260,Closure,Permanent,4/16/2007
ICOS Corporation,Bothell,5/29/2007,17,Layoff,Permanent,4/2/2007
Cosmo Store Services,Statewide,5/27/2007,17,Layoff,Permanent,4/2/2007
ICOS Corporation,Bothell,5/1/2007,1,Layoff,Permanent,3/22/2007
Bank of America,Spokane,6/29/2007,205,Layoff,Permanent,3/15/2007
ICOS Corporation,Bothell,5/5/2007,1,Layoff,Permanent,3/6/2007
Millenium Funding Group,Vancouver,3/2/2007,76,Layoff,Temporary,3/6/2007
Electric Boat,Bremerton,6/1/2007,2,Closure,Permanent,3/2/2007
"Sun Microsystems, Inc",Bellevue,4/30/2007,2,Closure,Permanent,3/1/2007
ICOS Corporation,Bothell/Redmond/Bellevue,4/29/2007,61,Layoff,Permanent,2/28/2007
Sealed Air,Kent,3/30/2007,99,Closure,Permanent,2/28/2007
"U.S. Foodservice, Inc.",Ridgefield,5/25/2007,43,Closure,Permanent,2/22/2007
Electric Boat,Bremerton,5/4/2007,6,Closure,Permanent,2/16/2007
ICOS Corporation,Bothell,3/29/2007,10,Layoff,Permanent,1/29/2007
"Sun Microsystems, Inc",Bellevue,3/26/2007,1,Layoff,Permanent,1/25/2007
AgriNorthwest,Kennewick,3/31/2007,106,Closure,Permanent,1/18/2007
"Portac, Inc.",Tacoma,4/1/2007,45,Layoff,Permanent,1/17/2007
ICOS Corporation,Bothell,1/31/2007,268,Layoff,Permanent,1/12/2007
Trident Seafoods Corporation,Fife,3/30/2007,106,Closure,Permanent,1/12/2007
Bessie Burton Sullivan Nursing Residence,Seattle,3/15/2007,196,Closure,Permanent,1/8/2007
ICOS Corporation,Bothell/Redmond/Bellevue,2/12/2007,11,Layoff,Permanent,12/14/2006
ICOS Corporation,Bothell/Redmond/Bellevue,2/5/2007,111,Layoff,Permanent,12/11/2006
ICOS Corporation,Bothell/Redmond,1/29/2007,15,Layoff,Permanent,12/5/2006
Electric Boat,Bremerton,2/2/2007,50,Layoff,Permanent,12/1/2006
TransAlta,Centralia,11/27/2006,568,Layoff,Permanent,11/27/2006
Georgia Pacific Corporation,Camas,1/27/2006,32,Layoff,Permanent,11/22/2006
ICOS Corporation,Bothell,1/16/2007,20,Layoff,Permanent,11/17/2006
UPS Supply Chain Solutions,Auburn,11/15/2006,57,Layoff,Permanent,11/17/2006
"Sun Microsystems, Inc",Bellevue,1/15/2007,3,Layoff,Permanent,11/16/2006
ICOS Corporation,Bothell,1/8/2007,56,Layoff,Permanent,11/9/2006
ICOS Corporation,Bothell,1/2/2007,197,Layoff,Permanent,11/2/2006
"Marine Industries Northwest, Inc",Tacoma,12/27/2006,75,Layoff,Permanent,10/27/2006
Glaxo Smith Kline,Bothell,10/25/2006,63,Closure,Permanent,10/27/2006
Leavenworth Wood Products,Leavenworth,12/12/2006,102,Closure,Permanent,10/11/2006
Washington Mutual,Lynnwood,12/5/2006,140,Layoff,Permanent,10/9/2006
Electric Boat,Bremerton,12/8/2006,56,Layoff,Permanent,10/6/2006
Spherion,Redmond,11/27/2006,141,Layoff,Permanent,10/3/2006
Chelan Fruit,Pateros,10/15/2006,84,Closure,Permanent,9/28/2006
"Sun Microsystems, Inc",Bellevue,11/27/2006,2,Layoff,Permanent,9/28/2006
Trammell Crow Company,Bellevue,11/15/2006,64,Layoff,Permanent,9/15/2006
Electric Boat,Bremerton,11/17/2006,15,Layoff,Permanent,9/15/2006
DMX Music,Seattle,10/30/2006,120,Layoff,Permanent,9/1/2006
Star Manufacturing,Everett,1/1/2007,107,Closure,Permanent,8/28/2006
"Tyson's Fresh Meats, Inc",Pasco,10/16/2006,590,Layoff,Permanent,8/17/2006
Electric Boat,Bremerton,10/13/2006,44,Layoff,Permanent,8/11/2006
"Sun Microsystems, Inc",Bellevue,10/2/2006,4,Layoff,Permanent,8/3/2006
Bank of America,Richland,10/1/2006,121,Closure,Permanent,7/31/2006
Bank of America,Seattle,10/1/2006,255,Closure,Permanent,7/31/2006
Shurgard Self Storage,Seattle,8/25/2006,175,Layoff,Permanent,7/28/2006
Pony Lumber Company,Tacoma,9/14/2006,125,Layoff,Temporary,7/17/2006
Bank of America,Seattle,10/1/2006,89,Closure,Permanent,7/14/2006
"Ocean Beauty Seafoods, Inc",Seattle,9/1/2006,120,Layoff,Permanent,7/10/2006
Electric Boat,Bremerton,9/8/2006,24,Layoff,Permanent,7/7/2006
"Sun Microsystems, Inc",Bellevue,8/21/2006,3,Layoff,Permanent,6/22/2006
Yakima Resources,Yakima,8/5/2006,250,Closure,Permanent,6/2/2006
Washington Mutual,Bothell,7/30/2006,900,Closure,Permanent,6/1/2006
Larry's Markets,"Bellevue, Kirkland, Redmond, Seattle, Tukwila",8/30/2006,545,Closure,Permanent,5/30/2006
K-Mart,Wenatchee,7/12/2006,60,Closure,Permanent,5/9/2006
Food Services of America,Seattle,6/30/2006,125,Closure,Permanent,5/2/2006
Mega Foods,Tacoma,7/8/2006,80,Closure,Permanent,4/28/2006
Amtech Corp,Yelm,6/30/2006,47,Closure,Permanent,4/6/2006
"Wackenhut Services, Inc",Bangor,6/30/2006,100,Layoff,Permanent,4/3/2006
American Airlines,SeaTac,5/29/2006,28,Layoff,Permanent,4/3/2006
Ossur Generation II USA,Bothell,3/8/2006,49,Closure,Permanent,3/20/2006
"Sun Microsystems, Inc",Bellevue,5/8/2006,2,Layoff,Permanent,3/13/2006
Cingular Wireless,Redmond,5/9/2006,2,Layoff,Permanent,3/13/2006
Cingular Wireless,"Bothell, Redmond",4/25/2006,17,Layoff,Permanent,3/2/2006
Defense Logistics Agency,Fort Lewis,3/13/2006,1,Layoff,Permanent,2/27/2006
Cingular Wireless,"Bothell, Redmond",4/11/2006,6,Layoff,Permanent,2/17/2006
Panasonic,Vancouver,1/30/2006,104,Layoff,Permanent,2/2/2006
Cingular Wireless,"Bothell, Redmond",3/28/2006,34,Layoff,Permanent,1/31/2006
Sinnett's MarketPlace,Longview,2/11/2006,65,Closure,Permanent,1/25/2006
Virginia Mason Clinics,Port Angeles,3/31/2006,98,Closure,Permanent,1/23/2006
Cingular Wireless,"Bothell, Redmond",3/14/2006,2,Layoff,Permanent,1/17/2006
UNICCO,Federal Way,3/31/2006,90,Closure,Permanent,1/16/2006
OfficeMax home Plate,Elma,3/11/2006,63,Closure,Permanent,1/9/2006
"Bechtel National, Inc.",Richland,2/6/2006,275,Layoff,Permanent,1/6/2006
"Schoeller Arca Systems, Inc",Tacoma,3/1/2006,86,Layoff,Permanent,1/3/2006
Cingular Wireless,"Bothell, Redmond",2/14/2006,1,Layoff,Permanent,12/20/2005
Cingular Wireless,"Bothell, Redmond",1/31/2006,16,Layoff,Permanent,12/6/2005
Delta Airlines,Seattle,2/1/2006,68,Layoff,Permanent,12/6/2005
Bank of America,Seattle,3/3/2006,115,Layoff,Permanent,12/6/2005
Getronics,Blaine,1/13/2006,2,Layoff,Permanent,11/29/2005
Metro One,Tukwila,1/9/2006,45,Closure,Permanent,11/16/2005
Delaware North Companies,Spokane,12/28/2005,80,Closure,Permanent,11/14/2005
Ridpath Hotel,Spokane,1/7/2006,74,Layoff,Permanent,11/10/2005
Cingular Wireless,"Bothell, Redmond",1/3/2006,7,Layoff,Permanent,11/7/2005
"Welch Foods, Inc.",Kennewick,1/18/2006,163,Closure,Permanent,11/2/2005
"Woodbridge Gardens, Inc",Winlock,12/30/2005,4,Closure,Permanent,11/1/2005
First Hill Care Center,Seattle,12/27/2005,103,Closure,Permanent,10/26/2005
Weyerhaeuser Company,Cosmopolis,10/1/2006,245,Closure,Permanent,10/24/2005
Weyerhaeuser Company,Aberdeen,12/19/2005,97,Closure,Permanent,10/24/2005
Cingular Wireless,"Bothell, Redmond",12/20/2005,25,Layoff,Permanent,10/21/2005
Interstate Brands Corp,Lakewood,12/17/2005,185,Closure,Permanent,10/19/2005
Cingular Wireless,"Bothell, Redmond",12/6/2005,24,Layoff,Permanent,10/11/2005
Electronic Data Systems,Tacoma,12/9/2005,122,Layoff,Permanent,10/7/2005
GB Enterprises,Arlington,11/29/2005,138,Closure,Permanent,10/4/2005
Cingular Wireless,"Bothell, Redmond",11/22/2005,15,Layoff,Permanent,9/27/2005
"Phillips Ultrasound, Inc",Bothell,11/18/2005,1,Layoff,Permanent,9/23/2005
Getronics,Blaine,11/15/2005,2,Layoff,Permanent,9/14/2005
Cingular Wireless,"Bothell, Redmond",11/8/2005,7,Layoff,Permanent,9/13/2005
Kinross Gold Corp,Republic,11/14/2005,65,Layoff,Permanent,9/9/2005
TreeSource,Tumwater,11/6/2005,124,Closure,Permanent,9/6/2005
"Maxon Furniture, Inc",Kent,12/2/2005,73,Closure,Permanent,8/25/2005
Jeld Wen,Everett,10/25/2005,85,Layoff,Permanent,8/24/2005
TFS Electronic Manufacturing,Redmond,10/22/2005,171,Layoff,Permanent,8/23/2005
"Phillips Ultrasound, Inc",Bothell,10/7/2005,2,Layoff,Permanent,8/15/2005
Cingular Wireless,"Bothell, Redmond",10/11/2005,9,Layoff,Permanent,8/14/2005
Cingular Wireless,"Bothell, Redmond",9/27/2005,6,Layoff,Permanent,8/2/2005
IAP World Services,Bangor,10/1/2005,787,Layoff,Permanent,7/25/2005
Cingular Wireless,"Bothell, Redmond",9/14/2005,10,Layoff,Permanent,7/22/2005
"Phillips Ultrasound, Inc",Bothell,9/16/2005,33,Layoff,Permanent,7/15/2005
PhotoWorks.com,Seattle,7/22/2005,3,Layoff,Permanent,7/13/2005
Corixa Corp.,Seattle,7/15/2005,70,Layoff,Permanent,7/13/2005
Jeld Wen,Everett,8/23/2005,75,Layoff,Permanent,6/23/2005
Cingular Wireless,"Bothell, Redmond",8/16/2005,4,Layoff,Permanent,6/21/2005
"Monolith Productions, Inc",Kirkland,8/15/2005,80,Layoff,Permanent,6/16/2005
"Phillips Ultrasound, Inc",Bothell,8/12/2005,13,Layoff,Permanent,6/10/2005
"Cell Therapeutics, Inc",Seattle,8/2/2005,92,Layoff,Permanent,6/3/2005
"Contec, LLC",Seattle,7/15/2005,70,Closure,Permanent,6/2/2005
Durham School Services,Seattle,7/31/2005,98,Closure,Permanent,5/27/2005
Cingular Wireless,"Bothell, Redmond",7/19/2005,15,Layoff,Permanent,5/23/2005
"Rockwell Collins, Inc",Kirkland,8/26/2005,135,Layoff,Permanent,5/20/2005
American Commercial Security Services,Bellevue,6/30/2005,155,Closure,Permanent,5/20/2005
Alaska Airlines,Seattle,7/17/2005,477,Layoff,Permanent,5/19/2005
Laidlaw Transit Services,Redmond,6/30/2005,75,Layoff,Permanent,5/13/2005
Cingular Wireless,"Bothell, Redmond",7/5/2005,12,Layoff,Permanent,5/9/2005
Sanmina-SCI,Bothell,4/22/2005,53,Closure,Permanent,5/2/2005
"Bechtel National, Inc.",Richland,6/24/2005,350,Layoff,Permanent,4/25/2005
Cingular Wireless,Redmond,6/21/2005,4,Layoff,Permanent,4/25/2005
Qwest,Seattle,6/8/2005,23,Closure,Permanent,4/19/2005
United Airlines,Kent,6/5/2005,426,Closure,Permanent,4/11/2005
Cingular Wireless,"Bothell, Redmond",5/13/2005,26,Layoff,Permanent,4/11/2005
Lennox Hearth Products,Burlington,6/3/2005,72,Closure,Permanent,4/4/2005
Qwest,Seattle,6/8/2005,144,Closure,Permanent,3/25/2005
"Phillips Ultrasound, Inc",Bothell,5/20/2005,43,Layoff,Permanent,3/17/2005
Brown & Cole Stores,Pasco,5/6/2005,64,Closure,Permanent,3/8/2005
Brown & Cole Stores,Smokey Point,5/6/2005,65,Closure,Permanent,3/8/2005
Brown & Cole Stores,Yakima,5/6/2005,67,Closure,Permanent,3/8/2005
Yakima Resources,Yakima,4/30/2005,118,Closure,Permanent,3/2/2005
Cingular Wireless,"Bothell, Redmond",4/29/2005,73,Layoff,Permanent,3/1/2005
Cingular Wireless,"Bothell, Redmond",4/15/2005,182,Layoff,Permanent,2/14/2005
Cingular Wireless,"Bothell, Redmond",4/4/2005,160,Layoff,Permanent,2/1/2005
"Sallie Mae, Inc",Seattle,3/28/2005,74,Layoff,Permanent,2/1/2005
Masonic Retirement Center of WA,Des Moines,3/27/2005,125,Closure,Permanent,1/31/2005
Pacific Marine Maintenance Co.,Tacoma,3/31/2005,72,Layoff,Permanent,1/27/2005
PhotoWorks.com,Seattle,3/31/2005,67,Layoff,Permanent,1/20/2005
Cingular Wireless,"Bothell, Redmond",3/18/2005,88,Layoff,Permanent,1/18/2005
"Phillips Ultrasound, Inc",Bothell,3/18/2005,17,Layoff,Permanent,1/18/2005
Cingular Wireless,"Bothell, Redmond",3/7/2005,155,Layoff,Permanent,1/3/2005
Capital One,Federal Way,1/3/2005,256,Closure,Permanent,12/22/2004
Corixa Corp.,Seattle,12/13/2004,60,Layoff,Permanent,12/13/2004
Panasonic,Kent,1/21/2005,63,Layoff,Permanent,11/16/2004
Trinity Universal Insurance Co.,Spokane,1/1/2005,47,Layoff,Permanent,10/29/2004
HMS Host,SeaTac,12/13/2004,103,Layoff,Permanent,10/18/2004
Alcoa-Wenatchee,Malaga,12/12/2004,59,Layoff,Temporary,9/27/2004
Plexus Corp,Bothell,11/20/2004,163,Closure,Permanent,9/21/2004
Alaska Airlines,Seattle,12/1/2004,189,Layoff,Permanent,9/14/2004
Microsoft,Redmond,10/25/2004,67,Layoff,Permanent,8/23/2004
Guidant Sales Corp,Redmond,10/8/2004,2,Layoff,Permanent,8/9/2004
SuperValue,Tacoma,10/3/2004,220,Layoff,Permanent,8/4/2004
Alcoa-Wenatchee,Malaga,10/1/2004,400,Layoff,Temporary,7/30/2004
Target,Federal Way,10/5/2004,134,Closure,Permanent,7/30/2004
Guidant Sales Corp,Kirkland,9/27/2004,2,Layoff,Permanent,7/29/2004
Premera Blue Cross,Mountlake Terrace,9/30/2004,82,Closure,Permanent,7/28/2004
Johnson Controls,Silverdale,10/1/2004,35,Layoff,Permanent,7/22/2004
Brown & Williamson Tobacco,Bellevue,8/31/2004,31,Closure,Permanent,7/6/2004
Sacred Heart Hospital,Spokane,8/31/2004,174,Layoff,Permanent,6/30/2004
"Qualex, Inc.",Chehalis,8/23/2004,80,Closure,Permanent,6/16/2004
"Ericsson, Inc",Redmond,7/30/2004,3,Layoff,Permanent,6/10/2004
IBM,Redmond,8/17/2004,63,Closure,Permanent,6/3/2004
Washington Mutual,Seattle,4/1/2004,170,Layoff,Permanent,5/24/2004
Selkirk Industries,Lynnwood,7/11/2004,52,Closure,Permanent,5/12/2004
GE Osmonics,Kent,7/1/2004,27,Closure,Permanent,4/28/2004
GMAC Financial Services,Bellevue,6/30/2004,43,Closure,Permanent,4/27/2004
Terabeam Corporation,Redmond,6/22/2004,13,Layoff,Permanent,4/22/2004
HealthNet Federal Services,Tacoma,5/28/2004,82,Layoff,Permanent,4/19/2004
Evergreen Vista Convalescent Center,Kirkland,6/30/2004,131,Closure,Permanent,4/15/2004
Terabeam Corporation,Redmond,6/13/2004,87,Layoff,Permanent,4/14/2004
Custom Apple Packers,Brewster,6/11/2004,73,Closure,Permanent,4/14/2004
Airborne Express,Seattle,3/31/2004,1000,Closure,Permanent,3/30/2004
Todd Pacific Shipyards Corp,Seattle,3/26/2004,500,Layoff,Temporary,3/26/2004
Wells Fargo Bank,Oak Harbor,4/28/2004,84,Closure,Permanent,3/26/2004
Peter Pan Seafoods,Seattle,5/26/2004,63,Closure,Permanent,3/25/2004
J.R. Simplot Company,Quincy,5/18/2004,606,Closure,Permanent,3/19/2004
GL&V,Vancouver,5/7/2004,46,Closure,Permanent,3/9/2004
Merrill Lynch Howard Johnson's,Seattle,4/30/2004,92,Closure,Permanent,3/8/2004
"Fujicolor Processing, Inc",Tukwila,2/26/2004,49,Closure,Permanent,3/1/2004
USCO Logistics,Sumner,4/3/2004,212,Closure,Permanent,2/5/2004
Swedish Medical Center,Seattle,3/22/2004,161,Closure,Permanent,1/23/2004
Experience Music Project,Seattle,3/15/2004,150,Layoff,Permanent,1/20/2004
Software Spectrum,Liberty Lake,2/5/2004,60,Layoff,Permanent,1/12/2004
